feature,coefficient,abs_coefficient
level,-1.3971964864619935,1.3971964864619935
give_up_count,-1.1687214662530658,1.1687214662530658
step_count,-1.0078260932594356,1.0078260932594356
early_final_answer_count,-0.8191094807522329,0.8191094807522329
uncertainty_marker_ratio,-0.7180558142241462,0.7180558142241462
total_tokens,0.39179382569851245,0.39179382569851245
assistant_steps_to_first_tool_call,0.35018792978196495,0.35018792978196495
prompt_tokens,0.27158099666326724,0.27158099666326724
total_calls,0.18712393276360423,0.18712393276360423
problem_marker_ratio,0.10235534943682159,0.10235534943682159
