feature,u_statistic,p_value,significant,effect_size_r,success_median,failure_median,median_diff
positive_marker_count,8174.5,0.500426034346811,False,0.049421477992906526,4.0,3.0,1.0
recovery_marker_ratio,8335.0,0.675831215501985,False,0.030757602186173627,0.1111111111111111,0.125,-0.013888888888888895
most_used_tool_ratio,8395.5,0.7471787009353144,False,0.023722309436595146,0.42857142857142855,0.3684210526315789,0.06015037593984962
total_message_length,8485.0,0.8574343468771555,False,0.013314727600441834,6243.0,7958.0,-1715.0
has_tool_error_in_first_step,8631.0,0.8933757114508312,False,-0.00366300366300365,0.0,0.0,0.0
recovery_marker_count,8662.5,0.9206639129382421,False,-0.0073260073260073,3.0,2.0,1.0
tool_latency_std,8634.0,0.9572721016227373,False,-0.004011861154718188,1.7562922598926827,1.619075178281083,0.13721708161159962
validation_attempt_count,8568.5,0.9605945012054891,False,0.0036048607477179306,2.0,2.0,0.0
tool_latency_max,8578.0,0.9736015283127192,False,0.0025001453572882637,4.962362000020221,4.186877041996922,0.7754849580232985
invalid_args_errors,8599.5,1.0,False,0.0,0.0,0.0,0.0
positive_markers_steps_21_plus,8599.5,1.0,False,0.0,0.0,0.0,0.0
invalid_tool_errors,8599.5,1.0,False,0.0,0.0,0.0,0.0
negative_markers_steps_21_plus,8599.5,1.0,False,0.0,0.0,0.0,0.0
negative_markers_steps_1_5,8599.5,1.0,False,0.0,0.0,0.0,0.0
negative_markers_steps_11_20,8599.5,1.0,False,0.0,0.0,0.0,0.0
positive_markers_steps_6_10,8599.5,1.0,False,0.0,0.0,0.0,0.0
steps_to_first_tool_call,8599.5,1.0,False,0.0,4.0,4.0,0.0
steps_to_first_positive_marker,8599.5,1.0,False,0.0,-1.0,-1.0,0.0
steps_to_first_negative_marker,8599.5,1.0,False,0.0,-1.0,-1.0,0.0
assistant_steps_to_first_positive_marker,8599.5,1.0,False,0.0,-1.0,-1.0,0.0
assistant_steps_to_first_negative_marker,8599.5,1.0,False,0.0,-1.0,-1.0,0.0
marker_trajectory_slope,8599.5,1.0,False,0.0,0.0,0.0,0.0
early_negative_rate,8599.5,1.0,False,0.0,0.0,0.0,0.0
positive_markers_steps_1_5,8599.5,1.0,False,0.0,0.0,0.0,0.0
negative_markers_steps_6_10,8599.5,1.0,False,0.0,0.0,0.0,0.0
positive_markers_steps_11_20,8599.5,1.0,False,0.0,0.0,0.0,0.0
