feature,coefficient,abs_coefficient
avg_tools_per_step,2.063101069391714,2.063101069391714
tool_latency_mean,-1.8066774730924757,1.8066774730924757
tool_latency_std,-1.5160549422206135,1.5160549422206135
tool_execution_duration,-1.4910825121920457,1.4910825121920457
annotatable_steps_count,1.3829847668362696,1.3829847668362696
tool_latency_max,-1.3579144897446733,1.3579144897446733
assistant_steps_to_first_error,1.206328161377332,1.206328161377332
tools_used_count,1.0698038648803796,1.0698038648803796
total_message_length,1.0435773937123853,1.0435773937123853
steps_to_first_error,-0.9469625214393473,0.9469625214393473
prompt_tokens,-0.8443510311346447,0.8443510311346447
total_tokens,-0.8415878607676358,0.8415878607676358
assistant_steps_to_first_planning,-0.7814927509526205,0.7814927509526205
steps_to_first_planning,-0.7814927509526205,0.7814927509526205
uncertainty_marker_count,0.7603704738765906,0.7603704738765906
self_correction_marker_ratio,-0.7578957480347529,0.7578957480347529
assistant_steps_count,-0.7494896770147393,0.7494896770147393
success_rate,0.6944309970759399,0.6944309970759399
error_rate,-0.6944309970759394,0.6944309970759394
loop_instance_count,-0.6930369984700041,0.6930369984700041
level,-0.6800437316803003,0.6800437316803003
self_correction_marker_count,-0.6326490517773472,0.6326490517773472
reasoning_statement_count,-0.6040056110126656,0.6040056110126656
tool_diversity_entropy,0.5881540971515393,0.5881540971515393
reasoning_to_total_ratio,-0.5567801391576253,0.5567801391576253
model_gpt-4o,-0.5500442125337045,0.5500442125337045
positive_marker_ratio,0.5239130313079294,0.5239130313079294
failed_calls,-0.5218188382416494,0.5218188382416494
total_errors,-0.5218188382416494,0.5218188382416494
execution_errors,-0.5212722949690736,0.5212722949690736
max_consecutive_failures,-0.49449163880870006,0.49449163880870006
error_burstiness,-0.49449163880870006,0.49449163880870006
planning_to_total_ratio,-0.4820564714851247,0.4820564714851247
rare_tool_ratio,-0.4698814889098351,0.4698814889098351
tool_gini_coefficient,0.4313823350222792,0.4313823350222792
neutral_marker_ratio,-0.4282683093536596,0.4282683093536596
marker_balance,0.4098932322522213,0.4098932322522213
confidence_marker_count,0.4098889558343703,0.4098889558343703
max_tool_burst_length,0.39323011182879225,0.39323011182879225
unnecessary_tool_use_count,0.38843360556331796,0.38843360556331796
negative_marker_count,-0.38383590833594405,0.38383590833594405
message_length_std,-0.37374541744134954,0.37374541744134954
verification_marker_count,-0.3583735190120715,0.3583735190120715
negative_marker_ratio,0.3455817699444698,0.3455817699444698
neutral_marker_count,-0.34392618073125625,0.34392618073125625
missing_validation_count,-0.343888851647941,0.343888851647941
retry_rate,0.33012116938334235,0.33012116938334235
total_markers,-0.32212281932870823,0.32212281932870823
thought_count,-0.3046688849581214,0.3046688849581214
recovery_marker_ratio,-0.2870749555576584,0.2870749555576584
positive_marker_count,0.2861685517680287,0.2861685517680287
verification_marker_ratio,-0.2727199468726548,0.2727199468726548
most_used_tool_ratio,0.27163813560875133,0.27163813560875133
assistant_steps_to_first_tool_call,0.26782050083763015,0.26782050083763015
avg_assistant_message_length,0.2647895989770194,0.2647895989770194
avg_message_length,0.2647895989770194,0.2647895989770194
confidence_marker_ratio,0.262842657490023,0.262842657490023
validation_to_total_ratio,-0.25672444740583855,0.25672444740583855
max_consecutive_successes,-0.24840798254324967,0.24840798254324967
avg_words_per_message,-0.23362258878220893,0.23362258878220893
backtrack_trigger_count,0.2271877260646361,0.2271877260646361
problem_marker_count,-0.22166569417343665,0.22166569417343665
assistant_steps_to_first_reasoning,-0.2202999797910855,0.2202999797910855
steps_to_first_reasoning,-0.2202999797910855,0.2202999797910855
uncertainty_marker_ratio,-0.21175950750484396,0.21175950750484396
unique_tool_calls_ratio,0.20836318597245546,0.20836318597245546
tool_repetition_rate,-0.20836318597245512,0.20836318597245512
total_calls,-0.18955601144823048,0.18955601144823048
backtrack_to_total_ratio,-0.18446303651522175,0.18446303651522175
action_count,-0.17284626626749802,0.17284626626749802
tool_switching_rate,-0.1691357039076334,0.1691357039076334
marker_balance_ratio,0.16441950902856395,0.16441950902856395
most_used_tool_count,0.1640196825719918,0.1640196825719918
non_sense_count,-0.16211436019501052,0.16211436019501052
completion_tokens,0.15911314286847425,0.15911314286847425
hallucination_count,0.1528849486437902,0.1528849486437902
has_planning_in_first_step,0.1423015290814202,0.1423015290814202
wrong_reasoning_count,-0.1387679158701387,0.1387679158701387
successful_calls,0.13514936460512916,0.13514936460512916
backtrack_after_error_rate,-0.12691502736774984,0.12691502736774984
longest_looping_sequence,0.12069062589608594,0.12069062589608594
top3_tool_concentration,-0.08743694126391892,0.08743694126391892
give_up_count,0.07903623581953347,0.07903623581953347
agent_type_ToolCallingAgent,-0.07823005188064443,0.07823005188064443
validation_attempt_count,0.07737711528712823,0.07737711528712823
problem_marker_ratio,0.07531063620210697,0.07531063620210697
syntax_error_count,-0.05560242141162805,0.05560242141162805
early_final_answer_count,-0.05265929568754115,0.05265929568754115
inefficient_tool_call_count,-0.04763683399595314,0.04763683399595314
avg_thought_length,0.039017088067452695,0.039017088067452695
recovery_marker_count,-0.036571304195318774,0.036571304195318774
neutral_count,0.02428928083166929,0.02428928083166929
step_count,0.014907186802909193,0.014907186802909193
question_count,0.011118747623269497,0.011118747623269497
thought_to_action_ratio,0.007902260599185541,0.007902260599185541
code_block_count,0.007080162078925602,0.007080162078925602
validation_after_error_rate,0.006782106583807296,0.006782106583807296
planning_statement_count,0.0036808829405731948,0.0036808829405731948
invalid_args_errors,-0.0018416810684933032,0.0018416810684933032
misunderstood_tool_count,-0.0007403258680511855,0.0007403258680511855
qa_score,-5.9994267092273e-18,5.9994267092273e-18
has_tool_error_in_first_step,0.0,0.0
invalid_tool_errors,0.0,0.0
wrong_planning_count,0.0,0.0
steps_to_first_tool_call,0.0,0.0
negative_markers_steps_21_plus,0.0,0.0
steps_to_first_positive_marker,0.0,0.0
steps_to_first_negative_marker,0.0,0.0
assistant_steps_to_first_positive_marker,0.0,0.0
assistant_steps_to_first_negative_marker,0.0,0.0
marker_trajectory_slope,0.0,0.0
early_negative_rate,0.0,0.0
positive_markers_steps_1_5,0.0,0.0
negative_markers_steps_1_5,0.0,0.0
positive_markers_steps_6_10,0.0,0.0
negative_markers_steps_6_10,0.0,0.0
positive_markers_steps_11_20,0.0,0.0
negative_markers_steps_11_20,0.0,0.0
positive_markers_steps_21_plus,0.0,0.0
has_reasoning_in_first_step,0.0,0.0
