feature,u_statistic,p_value,significant,effect_size_r,success_median,failure_median,median_diff
syntax_error_count,234.0,4.432145982016978e-25,True,0.6666666666666667,0.0,16.0,-16.0
loop_instance_count,246.0,1.3447408035002084e-11,True,0.6495726495726496,0.0,15.0,-15.0
positive_marker_ratio,1377.0,1.0131651318405361e-06,True,-0.9615384615384615,0.23076923076923078,0.014705882352941176,0.2160633484162896
marker_balance,1368.0,1.0581490832441978e-06,True,-0.9487179487179487,2.0,-63.0,65.0
marker_balance_ratio,1368.0,1.4354668219910174e-06,True,-0.9487179487179487,0.2,-0.9264705882352942,1.1264705882352941
longest_looping_sequence,270.0,3.8412553005685124e-06,True,0.6153846153846154,0.0,4.0,-4.0
tool_diversity_entropy,1332.0,4.069609387595322e-06,True,-0.8974358974358974,2.75,1.5,1.25
successful_calls,1278.0,4.168630129068357e-06,True,-0.8205128205128205,8.0,4.0,4.0
tools_used_count,1278.0,4.168630129068357e-06,True,-0.8205128205128205,7.0,3.0,4.0
problem_marker_ratio,130.5,8.839703806291372e-06,True,0.8141025641025641,0.0,1.0158730158730158,-1.0158730158730158
negative_marker_count,175.5,1.1168931192473428e-05,True,0.75,0.0,31.0,-31.0
problem_marker_count,144.0,1.231485498715786e-05,True,0.7948717948717949,0.0,64.0,-64.0
negative_marker_ratio,148.5,1.5477460843927124e-05,True,0.7884615384615384,0.0,0.9411764705882353,-0.9411764705882353
steps_to_first_reasoning,1246.5,6.199207832567735e-05,True,-0.7756410256410255,8.0,-1.0,9.0
assistant_steps_to_first_reasoning,1246.5,6.199207832567735e-05,True,-0.7756410256410255,8.0,-1.0,9.0
positive_marker_count,1232.0,6.902839091715451e-05,True,-0.754985754985755,2.0,1.0,1.0
annotatable_steps_count,172.5,0.00010693888911872875,True,0.7542735042735043,6.0,39.0,-33.0
reasoning_to_total_ratio,1206.0,0.00020110535993078513,True,-0.7179487179487178,0.037037037037037035,0.0,0.037037037037037035
total_calls,1197.0,0.00022019998141486677,True,-0.7051282051282051,9.0,4.0,5.0
total_markers,229.5,0.0003622753703134517,True,0.6730769230769231,10.0,68.0,-58.0
assistant_steps_count,256.5,0.0005800500895370718,True,0.6346153846153846,27.0,63.0,-36.0
avg_tools_per_step,1147.5,0.0011607645390339044,True,-0.6346153846153846,0.5294117647058824,0.096,0.4334117647058824
most_used_tool_ratio,297.0,0.002527063685158652,True,0.5769230769230769,0.2222222222222222,0.5,-0.2777777777777778
step_count,288.5,0.0027809092303695323,True,0.5890313390313391,20.0,39.0,-19.0
tool_latency_mean,294.0,0.0034511774021817915,True,0.5811965811965811,0.1783948647789657,0.42596464045345783,-0.24756977567449212
action_count,337.5,0.004029703907096183,True,0.5192307692307692,0.0,59.0,-59.0
thought_count,337.5,0.004046578082410713,True,0.5192307692307692,0.0,59.0,-59.0
recovery_marker_count,1039.5,0.006237254873330405,True,-0.48076923076923084,0.0,0.0,0.0
unique_tool_calls_ratio,1071.0,0.0069896848275269995,True,-0.5256410256410255,0.26666666666666666,0.25,0.016666666666666663
tool_repetition_rate,333.0,0.0069896848275269995,True,0.5256410256410257,0.7333333333333333,0.75,-0.01666666666666672
validation_attempt_count,1030.5,0.0075367595798222055,True,-0.46794871794871784,0.0,0.0,0.0
recovery_marker_ratio,1039.5,0.008032150286315704,True,-0.48076923076923084,0.0,0.0,0.0
validation_to_total_ratio,1039.5,0.008032150286315704,True,-0.48076923076923084,0.0,0.0,0.0
neutral_marker_count,407.5,0.017180001042317837,True,0.41951566951566954,7.0,8.0,-1.0
neutral_count,407.5,0.017180001042317837,True,0.41951566951566954,7.0,8.0,-1.0
reasoning_statement_count,954.0,0.02964317504028301,True,-0.35897435897435903,0.0,0.0,0.0
completion_tokens,405.0,0.03150687041593727,True,0.42307692307692313,59.0,1345.0,-1286.0
message_length_std,963.0,0.06155260506532512,False,-0.3717948717948718,1658.0020201703285,1084.823309808865,573.1787103614636
neutral_marker_ratio,949.5,0.07331642950474422,False,-0.35256410256410264,0.7,0.04411764705882353,0.6558823529411765
tool_latency_std,459.0,0.0818083129736425,False,0.34615384615384615,0.2828053989416781,0.2922683989567799,-0.009463000015101808
total_message_length,468.0,0.09378979319416132,False,0.33333333333333337,26026.5,152993.0,-126966.5
total_tokens,477.0,0.10711527491982031,False,0.3205128205128205,30207.0,38840.0,-8633.0
