category,appearances,total_combos,consistency_pct
Tool Usage,21,21,100.0
Rate/Ratio Metrics,21,21,100.0
Count Metrics,21,21,100.0
Other Metrics,19,21,90.47619047619048
Step Metrics,18,21,85.71428571428571
Token Metrics,15,21,71.42857142857143
Distribution Metrics,13,21,61.904761904761905
Error Metrics,12,21,57.14285714285714
Statistical Metrics,12,21,57.14285714285714
Complexity Metrics,11,21,52.38095238095239
