environment,best_test_auc,avg_test_auc,n_samples
all,0.9998296821443018,0.9942659655248273,3063
retrosynthesis,0.9984301412872841,0.9959445316588172,616
ml,1.0,0.9963369963369964,240
afm,1.0,0.9984674329501916,362
md,1.0,0.9989255976363148,900
catalyst,1.0,1.0,465
resistor,1.0,1.0,480
