feature,logreg,rf,xgb,avg_importance
level,0.8244599838531903,1.0,1.0,0.9414866612843967
assistant_steps_to_first_tool_call,0.32480510669592527,0.9378805970710251,0.9115093810673088,0.7247316949447531
rare_tool_ratio,0.2499255178288409,0.7740816598762966,0.673044852627142,0.5656840101107599
give_up_count,1.0,0.4323557033675563,0.21591330181146537,0.5494230017263405
tool_switching_rate,0.7479118003573282,0.7606975115608918,0.06104817084539942,0.5232191609212065
annotatable_steps_count,0.8254588857367163,0.3763309729525968,0.05796810179096297,0.4199193201600921
has_tool_error_in_first_step,0.9336969072469136,0.027667482227085566,0.2917154079815139,0.41769326581850436
tool_gini_coefficient,0.4527725404291264,0.7695600967323228,0.02511658517285273,0.4158164074447673
assistant_steps_count,0.9386932095284362,0.18567214980762392,0.054260543699019136,0.39287530101169305
problem_marker_ratio,0.12693482517876917,0.9444283309703033,0.060322199326633706,0.37722845182523534
qa_score,0.999931995229903,0.03669088307852071,0.0,0.3455409594361412
completion_tokens,0.3101660763269472,0.47580804576148394,0.2214093024863478,0.3357944748582596
confidence_marker_ratio,0.6528073004947774,0.31103153321400484,0.034544424114361136,0.3327944192743811
code_block_count,0.9164526069099522,0.047086742466230555,0.017115509144329907,0.3268849528401709
positive_marker_ratio,0.6034778505590377,0.22606263869757237,0.10917399162837012,0.31290482696166005
early_final_answer_count,0.7092576374230437,0.12252667169493492,0.10149744752709215,0.31109391888169025
total_tokens,0.16429057610144962,0.7110027405769417,0.04960316093115136,0.3082988258698475
avg_words_per_message,0.6659339086912037,0.13719516120206685,0.0578553663827742,0.28699481209201494
max_consecutive_successes,0.6370491200030434,0.09487483054095183,0.12739621335603712,0.2864400546333441
avg_tools_per_step,0.5020449773582899,0.22160098524804736,0.08342751944338057,0.26902449401657264
