model,agent,level,env_type,verbosity,average_score,success_rate,pass@1,pass@2,pass@3,pass@4,pass@5,total_tasks,total_tool_calls,failed_tool_calls,total_tokens,prompt_tokens,completion_tokens,duration
claude_sonnet_45,ToolCalling,level_2,tasks,workflow,0.725,0.725,0.725,0.8049999999999999,0.839,0.8554,0.8639600000000001,8,711,75,2160531,2137247,23284,4885.146121
claude_sonnet_45,ReAct,level_2,tasks,brief,0.775,0.775,0.775,0.845,0.865,0.8714,0.87364,8,506,7,1773510,1746364,27146,5029.607279
claude_sonnet_45,ReAct,level_2,tasks,comprehensive,0.5750000000000001,0.5750000000000001,0.575,0.695,0.755,0.791,0.81452,8,627,10,2673740,2646275,27465,6510.466623
claude_sonnet_45,ToolCalling,level_2,tasks,brief,0.8,0.8,0.8,0.89,0.938,0.9644,0.97928,8,558,76,1871609,1845658,25951,4171.357249
claude_sonnet_45,ReAct,level_2,tasks,workflow,0.75,0.75,0.75,0.81,0.84,0.8556,0.864,8,559,7,2466503,2441421,25082,5966.829799
claude_sonnet_45,ToolCalling,level_2,tasks,comprehensive,0.65,0.65,0.65,0.74,0.782,0.8072,0.82424,8,606,2,2535936,2512020,23916,4761.45689
claude_sonnet_45,ToolCalling,level_2,subtasks,workflow,0.7959999999999999,0.796,0.796,0.8424,0.8536,0.856992,0.8583616000000001,50,1010,136,5474423,5368617,105806,9975.703984
claude_sonnet_45,ReAct,level_2,subtasks,brief,0.612,0.612,0.612,0.7208,0.77424,0.805664,0.8260032,50,900,2,4133381,3995380,138001,12404.592888
claude_sonnet_45,ReAct,level_2,subtasks,comprehensive,0.4,0.4,0.4,0.43679999999999997,0.45664,0.470208,0.480448,50,1620,6,8517617,8360231,157386,21284.977514
claude_sonnet_45,ToolCalling,level_2,subtasks,brief,0.716,0.716,0.716,0.7991999999999999,0.84656,0.87984,0.9050815999999999,50,877,154,4592795,4480313,112482,9772.369358
claude_sonnet_45,ReAct,level_2,subtasks,workflow,0.5920000000000001,0.592,0.592,0.7168,0.7782399999999999,0.814336,0.8384512,50,1224,7,6409588,6271630,137958,16832.767382
claude_sonnet_45,ToolCalling,level_2,subtasks,comprehensive,0.556,0.556,0.5559999999999999,0.6232,0.6616,0.686176,0.7032256,50,1132,2,7059936,6960292,99644,11680.444897
claude_sonnet_45,ReAct,level_1,tasks,comprehensive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,313,0,749020,722316,26704,3353.621974
claude_sonnet_45,ToolCalling,level_1,tasks,brief,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,227,0,243509,219963,23546,1691.219552
claude_sonnet_45,ReAct,level_1,tasks,workflow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,402,0,568586,538365,30221,3237.411713
claude_sonnet_45,ToolCalling,level_1,tasks,comprehensive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,343,0,837773,815746,22027,2801.863504
claude_sonnet_45,ToolCalling,level_1,tasks,workflow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,409,0,615960,593898,22062,2452.775111
claude_sonnet_45,ReAct,level_1,tasks,brief,0.975,0.975,0.975,0.995,0.999,0.9998,0.99996,8,275,0,304427,275746,28681,2238.035377
claude_sonnet_45,ToolCalling,level_1,subtasks,workflow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50,457,6,2767644,2692486,75158,6192.866622
claude_sonnet_45,ToolCalling,level_1,subtasks,brief,0.972,0.972,0.972,0.9832,0.98832,0.991264,0.9932352,50,388,0,1172242,1088011,84231,5330.526655
claude_sonnet_45,ReAct,level_1,subtasks,workflow,0.996,0.996,0.996,0.9992,0.99984,0.999968,0.9999936,50,371,0,2465803,2330925,134878,7603.581164
claude_sonnet_45,ReAct,level_1,subtasks,comprehensive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50,385,0,4013479,3872717,140762,7588.954671
claude_sonnet_45,ToolCalling,level_1,subtasks,comprehensive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50,430,0,4297225,4224045,73180,5412.352738
claude_sonnet_45,ReAct,level_1,subtasks,brief,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50,331,0,975452,866263,109189,6972.627686
