sampler,budget,repeat,global_mse,global_spearman,global_kendall,mean_per_env_mse,mean_per_env_spearman,coverage__retro,coverage__spectra,coverage__wetlab
stratified_equal,5,0,0.012084095367436246,0.8728405635341712,0.7722522721128167,0.10463942901234567,0.6821266775506082,2,2,1
stratified_equal,5,1,0.01139473366530859,0.8581449237144743,0.6870429186215167,0.1116116512345679,0.3769019641954492,2,2,1
stratified_equal,5,2,0.04143728685679795,0.9577702286774382,0.8839599998785472,0.09803757716049383,0.7713562458294355,2,2,1
stratified_equal,5,3,0.03907132940998943,0.8210469908906033,0.6684585169941752,0.10388016975308643,0.6580734534193596,2,2,1
stratified_equal,5,4,0.01972948543835823,0.7389931858836108,0.5929304449793936,0.14541720679012346,0.6179476339390633,2,2,1
stratified_equal,5,5,0.03368693224686887,0.9521642971961908,0.8813830938882877,0.07430609567901235,0.923117086699995,2,2,1
stratified_equal,5,6,0.037025939339067455,0.9681248023461679,0.8898984166292194,0.09144498456790123,0.9005409722107632,2,2,1
stratified_equal,5,7,0.12197629394899655,0.7253700996601186,0.604814736759006,0.16735239197530868,0.6840049368229028,2,2,1
stratified_equal,5,8,0.024696861324883062,0.8791607177646247,0.7481134002767627,0.03963016975308641,0.8546614369100046,2,2,1
stratified_equal,5,9,0.01881033650218802,0.9438654593312678,0.8616404368553291,0.036157947530864196,0.805130560334851,2,2,1
stratified_equal,5,10,0.033780549268145464,0.9225580879172384,0.8219277191853159,0.08545424382716049,0.7206036438918574,2,2,1
stratified_equal,5,11,0.026977712388712844,0.9877423203570683,0.9618600860701234,0.05842646604938271,0.904140897614874,2,2,1
stratified_equal,5,12,0.028112464161762482,0.8662186627009184,0.7191012094028307,0.06764868827160495,0.7388927152665414,2,2,1
stratified_equal,5,13,0.004067074090840501,0.9684270140350553,0.9231861823449954,0.04267646604938271,0.5420455418608673,2,2,1
stratified_equal,5,14,0.016969201750414966,0.9734491798677136,0.9134333882114982,0.03892646604938271,0.777301977925459,2,2,1
stratified_equal,5,15,0.010733740757507174,0.8324838680348632,0.6565706694547585,0.03253757716049383,0.6671379220972495,2,2,1
stratified_equal,5,16,0.036484095367436256,0.9065608223938976,0.781631749350903,0.0653616512345679,0.7102662811477639,2,2,1
