method,subject,group,budget,sq_err,rho_all,rho_new_only,rho_legacy_only
bayes_maxinfo,claude-opus-4.8__react,new,5,0.10736079674060656,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,claude-opus-4.8__tool_calling,new,5,0.05739592575826177,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,claude-4.5__react,legacy,5,0.2784246265278408,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,kimi-k2.5__react,new,5,0.2568548664554096,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,claude-4.5__tool_calling,legacy,5,0.183986238116795,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,deepseek-v3.2__react,new,5,0.09051136260751466,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,kimi-k2.5__tool_calling,new,5,0.13299212313263922,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,deepseek-v3.2__tool_calling,new,5,0.08128564961521045,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,gpt-oss-120b__tool_calling,legacy,5,0.12534612947034857,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,gpt-4o__react,legacy,5,0.00019719330013580815,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,gpt-4o__tool_calling,legacy,5,0.0007887732005432326,0.9560765576286495,0.9276336570439175,0.942857142857143
bayes_maxinfo,gpt-oss-120b__react,legacy,5,0.0004526935264825713,0.9560765576286495,0.9276336570439175,0.942857142857143
stratified_bayes_irt,claude-opus-4.8__react,new,5,0.10736079674060656,0.8823454597182078,0.7061878636037996,0.9710083124552245
stratified_bayes_irt,claude-opus-4.8__tool_calling,new,5,0.05739592575826177,0.8823454597182078,0.7061878636037996,0.9710083124552245
stratified_bayes_irt,claude-4.5__react,legacy,5,0.2784246265278408,0.8823454597182078,0.7061878636037996,0.9710083124552245
stratified_bayes_irt,kimi-k2.5__react,new,5,0.2989995473064735,0.8823454597182078,0.7061878636037996,0.9710083124552245
stratified_bayes_irt,claude-4.5__tool_calling,legacy,5,0.3013309189678588,0.8823454597182078,0.7061878636037996,0.9710083124552245
