method,budget,repeat,rho_all,mse_new
random,5,126,0.9103817221537509,0.007869624264373024
random,5,127,0.9235287091052666,0.06254196468990493
random,5,128,0.9344000379201426,0.026371751923947473
random,5,129,0.913643367603167,0.02564551078919571
random,5,130,0.8511396590310907,0.01318026256224536
random,5,131,0.924198192479382,0.05206253206579147
random,5,132,0.6842147381769412,0.016136290931039684
random,5,133,0.9665278806845445,0.007761822845933298
random,5,134,0.9333390787439302,0.014127780292741816
random,5,135,0.8947423499236925,0.0205618228459333
random,5,136,0.8736895887490173,0.01737884412252905
random,5,137,0.898251143452805,0.010428489512599982
random,5,138,0.8390024476429815,0.03084834766862832
random,5,139,0.8756580854229328,0.038037000150897844
random,5,140,0.9117120056348833,0.006916432775011313
random,5,141,0.8988715193680459,0.025917851214727644
random,5,142,0.8666720016907923,0.009078134902670893
random,5,143,0.9877114437266564,0.01803132639203261
random,5,144,0.9071817764981586,0.036062532065791464
random,5,145,0.9263214916857051,0.02069799305869927
random,5,146,0.6267761055315589,0.08648522710125243
random,5,147,0.8728405635341712,0.026683808661536145
random,5,148,0.7709688525804979,0.05593203561189073
random,5,149,0.8308192634035797,0.05609657461898294
random,5,150,0.9593656679799492,0.0027348724913233776
random,5,151,0.8892917980884131,0.019410049796287906
random,5,152,0.8905094008526766,0.050201539157990034
random,5,153,0.8315840663996671,0.012249766108344648
random,5,154,0.8736895887490173,0.041560404406216986
random,5,155,0.8596544146325672,0.008289482420401388
random,5,156,0.8070225116958795,0.031722106533876554
random,5,157,0.980637776752932,0.018899411498415588
random,5,158,0.7508818152300792,0.042218560434585765
random,5,159,0.7775843798555645,0.03948380866153612
random,5,160,0.7979021271386156,0.011353312207635432
random,5,161,0.9473742528603802,0.0349958653991248
random,5,162,0.9736514943497644,0.004391610079975859
random,5,163,0.8752318487115212,0.0020199788743020934
random,5,164,0.9087775240401426,0.016522106533876566
random,5,165,0.9366429442213183,0.04005118454806096
random,5,166,0.9824621881515054,0.009815723555153168
random,5,167,0.9166357786440943,0.10870366681756455
random,5,168,0.9136157704280913,0.007149056888486496
random,5,169,0.6996859578128174,0.02225260298777726
random,5,170,0.9030333483768006,0.007750475328202802
random,5,171,0.9244416715306428,0.005526361853025505
random,5,172,0.6690027772631207,0.0311490568884865
random,5,173,0.876439947839624,0.06086820582465672
random,5,174,0.9559454586332539,0.0038412554700467763
random,5,175,0.9052687305110301,0.045503666817564514
random,5,176,0.8736082383428198,0.01550650369699713
random,5,177,0.7844963769416436,0.012068205824656708
random,5,178,0.9771103027358352,0.015188773200543237
random,5,179,0.8818685042742194,0.058661113626075144
random,5,180,0.8591762345488786,0.0349731703636638
random,5,181,0.9684270140350553,0.013446929228912033
random,5,182,0.9385016209075346,0.018434163271465225
random,5,183,0.9176896735232337,0.017838418590614174
random,5,184,0.7125497514535692,0.02362565263316733
random,5,185,0.6714981658431259,0.12977033348423117
random,5,186,0.7346323549426022,0.01566536894522409
random,5,187,0.9490465829402037,0.006927780292741823
random,5,188,0.8736895887490173,0.013219978874302096
random,5,189,0.8756580854229328,0.008351893767919122
random,5,190,0.9700553547016413,0.004107922136713444
random,5,191,0.9734491798677136,0.050655439867209905
random,5,192,0.9160839160839163,0.03079161007997587
random,5,193,0.900176511814775,0.03328806398068509
random,5,194,0.9111762845610993,0.004266787384940397
random,5,195,0.8873459471570384,0.011438418590614155
random,5,196,0.9947414184151023,0.10053912781047232
random,5,197,0.8861659824480081,0.07239728383884109
random,5,198,0.9335276156652562,0.014451184548060969
random,5,199,0.9277256664964789,0.003988773200543233
random,10,0,0.9106844088398501,0.01796607816508222
random,10,1,0.9667265263069179,0.013991610079975856
random,10,2,0.8386016534578921,0.03276891504451485
random,10,3,0.9090909090909092,0.019017141994869476
random,10,4,0.9720279720279721,0.004496574618982953
random,10,5,0.965034965034965,0.009637000150897839
random,10,6,0.9684270140350553,0.0094554398672099
random,10,7,0.9562186292818428,0.006625652633167342
random,10,8,0.9860139860139862,0.004719269654443947
random,10,9,0.9325319787305002,0.0054171419948694744
random,10,10,0.9649182205059428,0.008356149087068053
random,10,11,0.9648126568294783,0.0055788441225290445
random,10,12,0.924198192479382,0.010585936321110608
random,10,13,0.8251748251748254,0.013671042704089321
random,10,14,0.9193039046274801,0.027923524973592878
random,10,15,0.9824621881515054,0.012279553342387214
random,10,16,0.9930069930069931,0.006848347668628334
random,10,17,0.8861659824480081,0.019096574618982943
random,10,18,0.9510489510489512,0.007495156179266638
random,10,19,0.9176896735232337,0.02680579447713898
random,10,20,0.9488905105990603,0.005258276746642525
random,10,21,0.9492133645984593,0.0041660781650822406
random,10,22,0.9841652507700289,0.008078134902670895
random,10,23,0.8721554530812411,0.0037972838388411014
random,10,24,0.9510489510489512,0.042271042704089316
random,10,25,0.938705467573384,0.0050752980232382705
random,10,26,0.9440559440559443,0.002038418590614152
random,10,27,0.9507278005253983,0.0028625320657914583
random,10,28,0.9422080999150758,0.007777425682812735
random,10,29,0.9211923058649254,0.004031326392032595
random,10,30,0.965034965034965,0.006391610079975856
random,10,31,0.9632238939652261,0.012619978874302112
random,10,32,0.9403566658021552,0.007217141994869475
random,10,33,0.8947423499236925,0.011361822845933303
random,10,34,0.9562186292818428,0.02789373773955031
random,10,35,0.9492133645984593,0.007861113626075146
random,10,36,0.938705467573384,0.011587354760826918
random,10,37,0.9368478722730427,0.007056858306926214
random,10,38,0.9440559440559443,0.006739127810472304
random,10,39,0.9438654593312678,0.005888063980685074
random,10,40,0.9580419580419581,0.03257458880338011
random,10,41,0.965034965034965,0.0016582767466425223
random,10,42,0.9718550849815182,0.01329515617926663
random,10,43,0.9525615702844266,0.016756149087068056
random,10,44,0.9541172151992964,0.0052057944771389765
random,10,45,0.9579006334477178,0.029018560434585786
random,10,46,0.900176511814775,0.03033345405160706
random,10,47,0.8861659824480081,0.013839837030330466
random,10,48,0.9667265263069179,0.007995865399124797
random,10,49,0.9667265263069179,0.006110759016146065
random,10,50,0.9667265263069179,0.0013405462501886233
random,10,51,0.980637776752932,0.006143383129621249
random,10,52,0.9160839160839163,0.04923983703033045
random,10,53,0.9211923058649254,0.0029618228459333024
random,10,54,0.9090909090909092,0.0028838086615361434
random,10,55,0.9440559440559443,0.029109340576429766
random,10,56,0.9597212616235344,0.004126361853025504
random,10,57,0.9440559440559443,0.0011107590161460702
random,10,58,0.8161133356141735,0.026871042704089323
random,10,59,0.7740817475138726,0.06061856043458578
random,10,60,0.9014308034611184,0.009998702278557406
random,10,61,0.9510489510489512,0.017675298023238268
random,10,62,0.8881118881118882,0.0027561490870680575
random,10,63,0.9597212616235344,0.03306962426437302
random,10,64,0.9632238939652261,0.01681856043458578
random,10,65,0.8581449237144743,0.026263950505507755
random,10,66,0.9176896735232337,0.005680971782103522
random,10,67,0.9176896735232337,0.020699411498415577
random,10,68,1.0,0.010150475328202815
random,10,69,0.8561456211034547,0.010222815753734715
random,10,70,0.9577702286774382,0.017543383129621254
random,10,71,0.8028368093325585,0.026313595895578686
random,10,72,0.9155156597651983,0.0030767164629545815
random,10,73,0.9020979020979022,0.008290900860117693
random,10,74,0.9422080999150758,0.00539444695940848
random,10,75,0.9614094269768303,0.01415047532820281
random,10,76,0.9020979020979022,0.01000579447713898
random,10,77,0.9860139860139862,0.009071042704089328
random,10,78,0.938705467573384,0.01400721291685529
random,10,79,0.9052687305110301,0.0013476384487701844
random,10,80,0.9457107322567676,0.010015723555153167
random,10,81,0.9580419580419581,0.007506503696997136
random,10,82,0.8791607177646247,0.021161822845933317
random,10,83,0.83601134205196,0.015007212916855285
random,10,84,0.9136157704280913,0.030791610079975856
random,10,85,0.965034965034965,0.003176007243096414
random,10,86,0.9790209790209792,0.031954730647351735
random,10,87,0.9492133645984593,0.0008483476686283395
random,10,88,0.9577702286774382,0.007377425682812745
random,10,89,0.9579006334477178,0.013706503696997123
random,10,90,0.9171432444451882,0.008927780292741811
random,10,91,0.9211923058649254,0.03609515617926665
random,10,92,0.965034965034965,0.010632744831748912
random,10,93,0.9700553547016413,0.013512177455862383
random,10,94,0.9754446010932804,0.008401539157990036
random,10,95,0.8350928599287796,0.017334872491323372
random,10,96,0.9580419580419581,0.004341964689904938
random,10,97,0.9435159128081931,0.012292319299834003
random,10,98,0.9366429442213183,0.019309340576429752
random,10,99,0.9352028352316922,0.05900721291685529
random,10,100,0.9368478722730427,0.009329198732458124
random,10,101,0.9436853723733583,0.0014781349026708908
random,10,102,0.9648126568294783,0.027614305115436843
random,10,103,0.9702291586486097,0.0005093405764297554
random,10,104,0.8979095893850985,0.024805794477138963
random,10,105,0.9790209790209792,0.002834163271465212
random,10,106,0.912286317569255,0.006354730647351747
random,10,107,0.9312531405135757,0.004506503696997135
random,10,108,0.9403566658021552,0.00259019164025954
random,10,109,0.99124495269876,0.002279553342387205
random,10,110,0.8791607177646247,0.01085402142749359
random,10,111,0.9347806145306725,0.043819978874302105
random,10,112,0.9020979020979022,0.006164659725365926
random,10,113,0.9684270140350553,0.008229907952316285
random,10,114,0.8631632081616797,0.019278134902670895
random,10,115,0.9842396880153765,0.006550475328202805
random,10,116,0.9579006334477178,0.00716040440621699
random,10,117,0.9525615702844266,0.013132035611890754
random,10,118,0.9510489510489512,0.010265368945224071
random,10,119,0.8756580854229328,0.010608631356571592
random,10,120,0.8771983822781297,0.00984125547004678
random,10,121,0.9684270140350553,0.044466787384940386
random,10,122,0.9877114437266564,0.012624234193451033
random,10,123,0.9632238939652261,0.0030426739097630944
random,10,124,0.9488905105990603,0.0035164327750113167
random,10,125,0.900176511814775,0.009907922136713451
random,10,126,0.8861659824480081,0.020523524973592874
random,10,127,0.9071817764981586,0.0033901916402595384
random,10,128,0.9577702286774382,0.020848347668628336
random,10,129,0.9737317909903013,0.008534872491323389
random,10,130,0.9230769230769231,0.0031575675267843674
random,10,131,0.8601398601398602,0.03985402142749358
random,10,132,0.9772344233319931,0.006010049796287913
random,10,133,0.9193039046274801,0.044184517881394304
random,10,134,0.9230769230769231,0.007897993058699268
random,10,135,0.9877423203570683,0.003078134902670884
random,10,136,0.9894797752097304,0.007163241285649612
random,10,137,0.9230769230769231,0.008031326392032597
random,10,138,0.9702291586486097,0.003883808661536143
random,10,139,0.9193039046274801,0.019740546250188618
random,10,140,0.9368478722730427,0.005675298023238261
random,10,141,0.9632238939652261,0.003924943413309186
random,10,142,0.9211923058649254,0.013149056888486494
random,10,143,0.9754446010932804,0.009170333484231175
random,10,144,0.9597212616235344,0.003848347668628339
random,10,145,0.9788535874452041,0.02156465972536593
random,10,146,0.8721554530812411,0.04030508525728085
random,10,147,0.8861659824480081,0.005171751923947493
random,10,148,0.9632238939652261,0.015059695186358834
random,10,149,0.9538876728999008,0.035686645540968766
random,10,150,0.8421104469870047,0.006100829938131884
random,10,151,0.8251748251748254,0.015129198732458111
random,10,152,0.9789533946223928,0.002185936321110603
random,10,153,0.9492133645984593,0.008794446959408475
random,10,154,0.9702291586486097,0.006922106533876568
random,10,155,0.9314716462190886,0.00979019164025954
random,10,156,0.9228126981565926,0.008527780292741814
random,10,157,0.9352028352316922,0.007637000150897848
random,10,158,0.9930069930069931,0.0006866455409687667
random,10,159,0.9087775240401426,0.05120437603742267
random,10,160,0.9562186292818428,0.021072461143805638
random,10,161,0.938705467573384,0.019122106533876564
random,10,162,0.9510489510489512,0.004880971782103513
random,10,163,0.9246949382066171,0.00902423419345104
random,10,164,0.9702291586486097,0.0033987022785574132
random,10,165,0.9543918399186052,0.0035972838388411018
random,10,166,0.9579006334477178,0.009195865399124795
random,10,167,0.9352028352316922,0.035696574618982936
random,10,168,0.9580419580419581,0.00698735476082692
random,10,169,0.8581449237144743,0.012080971782103515
random,10,170,0.912286317569255,0.0009008299381318861
random,10,171,0.8465937641032506,0.050309340576429745
random,10,172,0.9702291586486097,0.03821856043458578
random,10,173,0.9648126568294783,0.012700829938131887
random,10,174,0.9510489510489512,0.0021632412856496188
random,10,175,0.9155156597651983,0.007019978874302105
random,10,176,0.9230769230769231,0.012549056888486503
random,10,177,0.8803035190049984,0.012438418590614156
random,10,178,0.9702291586486097,0.03116040440621699
random,10,179,0.8756580854229328,0.02438735476082693
random,10,180,0.9370629370629372,0.011967496604798565
random,10,181,0.9368478722730427,0.009354730647351745
random,10,182,0.8791607177646247,0.014896574618982942
random,10,183,0.9281975705483089,0.030679553342387186
random,10,184,0.9246949382066171,0.029560404406216993
random,10,185,0.9473742528603802,0.00218735476082692
random,10,186,0.9141870411815418,0.004553312207635431
random,10,187,0.9281975705483089,0.005339127810472309
random,10,188,0.9317002028900006,0.013211468236004222
random,10,189,0.9580419580419581,0.01030508525728082
random,10,190,0.9017599369819175,0.01301288667572053
random,10,191,0.9492133645984593,0.0074157235551531656
random,10,192,0.9333390787439302,0.012149056888486484
random,10,193,0.9719358075641679,0.004751893767919112
random,10,194,0.9422080999150758,0.01578593632111061
random,10,195,0.9930069930069931,0.01163983703033047
random,10,196,0.9157951110983675,0.023349056888486486
random,10,197,0.9894797752097304,0.0006979930586992625
random,10,198,0.9520546923980934,0.011696574618982955
random,10,199,0.9754446010932804,0.013663950505507776
random,15,0,0.9422080999150758,0.006835739315594455
random,15,1,0.9160839160839163,0.026360404406216984
random,15,2,0.8546422913727825,0.025737551766343066
random,15,3,0.9160839160839163,0.020483651057123218
random,15,4,0.938705467573384,0.0074825478262327515
random,15,5,0.9510489510489512,0.005944328756098786
random,15,6,0.9562186292818428,0.017684596683600756
random,15,7,0.9440559440559443,0.005327780292741808
random,15,8,0.9440559440559443,0.004115487148533772
random,15,9,0.9370629370629372,0.01655551866941635
random,15,10,0.9597212616235344,0.0017104438073202236
random,15,11,0.8741258741258742,0.0038210821051925634
random,15,12,0.9720279720279721,0.002066629780527477
random,15,13,0.9510489510489512,0.015015408346327303
random,15,14,0.9352028352316922,0.007997599047666943
random,15,15,0.9370629370629372,0.0010724611438056428
random,15,16,0.9562186292818428,0.003674825209999492
random,15,17,0.9562186292818428,0.003150948141441581
random,15,18,0.9772344233319931,0.003671673121741025
random,15,19,0.9790209790209792,0.002316905588250096
random,15,20,0.9790209790209792,0.0037000419160672644
random,15,21,0.9225580879172384,0.01529846587193804
random,15,22,0.9580419580419581,0.00358026256224536
random,15,23,0.9632238939652261,0.010033217644987673
random,15,24,0.9772344233319931,0.0028256526331673485
random,15,25,0.9090909090909092,0.03227498281441244
random,15,26,0.9684270140350553,0.010088694398336777
random,15,27,0.9789533946223928,0.019351420954680343
random,15,28,0.9438654593312678,0.012970963901882864
random,15,29,0.8616475560561659,0.025776007243096418
random,15,30,0.9510489510489512,0.02929121606894355
random,15,31,0.9492133645984593,0.0025280955015676595
random,15,32,0.9737317909903013,0.03546552654963701
random,15,33,0.938705467573384,0.001900829938131881
random,15,34,0.9930069930069931,0.0025268346662642737
random,15,35,0.9492133645984593,0.0028578039334037487
random,15,36,0.9541172151992964,0.0036849118924266043
random,15,37,0.9649182205059428,0.004625495028754422
random,15,38,0.965034965034965,0.005052918196603122
random,15,39,0.9702291586486097,0.015173012759250879
random,15,40,0.965034965034965,0.00019555019029894442
random,15,41,0.9071817764981586,0.007811625840417156
random,15,42,0.9246949382066171,0.03651958486326979
random,15,43,0.965034965034965,0.008975376825444739
random,15,44,0.9510489510489512,0.004338654997233546
random,15,45,0.9665278806845445,0.0056877487718592435
random,15,46,0.9370629370629372,0.011399963113860809
random,15,47,1.0,0.011717063192663016
random,15,48,0.9281975705483089,0.009996023003537712
random,15,49,0.9230769230769231,0.004942595107556633
random,15,50,0.9422080999150758,0.031036842546484922
random,15,51,0.9160839160839163,0.00721272907130761
random,15,52,0.9720279720279721,0.00793203561189075
random,15,53,0.9020979020979022,0.009052287778951425
random,15,54,0.9632238939652261,0.0045876699696527695
random,15,55,0.9842396880153765,0.0019645021209530023
random,15,56,0.9440559440559443,0.002565290143017619
random,15,57,0.9510489510489512,0.0037000419160672714
random,15,58,0.9492133645984593,0.0009501601193769585
random,15,59,0.9510489510489512,0.012061271230488063
random,15,60,0.9510489510489512,0.00699334372851802
random,15,61,0.9211923058649254,0.0114018543668159
random,15,62,0.9772344233319931,0.014102563586674036
random,15,63,0.8881118881118882,0.007776322451922269
random,15,64,0.9790209790209792,0.004462847274617311
random,15,65,0.9930069930069931,0.004382784232852142
random,15,66,0.9807370556736849,0.00861919085223748
random,15,67,0.9562186292818428,0.0019468504267055587
random,15,68,0.9824621881515054,0.008242831514176019
random,15,69,0.938705467573384,0.0065066613014100605
random,15,70,0.9736514943497644,0.004512019851449451
random,15,71,0.965034965034965,0.004271830726153947
random,15,72,0.9702291586486097,0.004671515517328101
random,15,73,0.9807370556736849,0.014947323239944346
random,15,74,0.9457107322567676,0.009781050584309987
random,15,75,0.8461538461538463,0.00014637761346679258
random,15,76,0.9508830463894927,0.010088694398336769
random,15,77,0.9300699300699302,0.0014021695756417322
random,15,78,0.9772344233319931,0.0032530758010160445
random,15,79,0.9807370556736849,0.002420924500779639
random,15,80,0.9090909090909092,0.005444407558305254
random,15,81,0.9790209790209792,0.00017033348423117466
random,15,82,0.9580419580419581,0.0075178512147276244
random,15,83,0.9930069930069931,0.015401223949164192
random,15,84,0.9860139860139862,0.01241682678604362
random,15,85,0.9667265263069179,0.0019695454621665542
random,15,86,0.9160839160839163,0.005923524973592883
random,15,87,0.9790209790209792,0.005204218433009745
random,15,88,0.9230769230769231,0.032438260986201235
random,15,89,0.9772344233319931,0.0023572523179585243
random,15,90,0.9090909090909092,0.004959616384152377
random,15,91,0.9720279720279721,0.0029996479050349617
random,15,92,0.9842396880153765,0.005678922924735506
random,15,93,0.9982502173821435,0.006195234981473097
random,15,94,0.9422080999150758,0.004309025367603906
random,15,95,0.9440559440559443,0.012924943413309185
random,15,96,0.9597212616235344,0.011132035611890757
random,15,97,0.9842396880153765,0.03196355649447547
random,15,98,0.9020979020979022,0.0032644233187465407
random,15,99,0.9370629370629372,0.0028975202454604872
random,15,100,0.8861659824480081,0.02619271331086633
random,15,101,0.9508830463894927,0.009674510001173645
random,15,102,1.0,0.014159931592978221
random,15,103,0.9632238939652261,0.012989246013781992
random,15,104,0.9492133645984593,0.013334084469258753
random,15,105,0.9562186292818428,0.0017842026725684477
random,15,106,0.9160839160839163,0.002864108109920698
random,15,107,0.9580419580419581,0.007870254682024716
random,15,108,0.9298302852148176,0.004725731435373805
random,15,109,0.9860139860139862,0.02479381654175679
random,15,110,0.9141870411815418,0.013088852002749686
random,15,111,0.9230769230769231,0.015172382341599192
random,15,112,0.9841964563824335,0.03299239810204047
random,15,113,0.965034965034965,0.0059178512147276255
random,15,114,0.9492133645984593,0.0014708850996764066
random,15,115,0.965034965034965,0.0031061884881712874
random,15,116,0.9230769230769231,0.002816196368391935
random,15,117,0.9720279720279721,0.015269466659960101
random,15,118,0.965034965034965,0.007851342152473887
random,15,119,0.9230769230769231,0.015367181395972705
random,15,120,0.9789533946223928,0.01971517193970793
random,15,121,0.9580419580419581,0.003845037975956945
random,15,122,0.9860139860139862,0.003512177455862388
random,15,123,0.9597212616235344,0.006081759804168131
random,15,124,0.9597212616235344,0.0029397582281240017
random,15,125,0.9157951110983675,0.011655282262796976
random,15,126,0.9580419580419581,0.005468363429069628
random,15,127,0.9036791441564668,0.007379159331354891
random,15,128,0.9772344233319931,0.00471942725885687
random,15,129,0.9440559440559443,0.004678450111496738
random,15,130,0.9580419580419581,0.008626755864057806
random,15,131,0.8811188811188813,0.004215093137501476
random,15,132,0.9649182205059428,0.002908867763190983
random,15,133,0.9719358075641679,0.004535345304562151
random,15,134,0.9930069930069931,0.005869939473198874
random,15,135,0.9684270140350553,0.011684281474774919
random,15,136,0.9860139860139862,0.006610680213939607
random,15,137,0.9281975705483089,0.007690585651291849
random,15,138,0.9807370556736849,0.011790822057911233
random,15,139,0.965034965034965,0.00907372197910903
random,15,140,0.99124495269876,0.0027916100799758644
random,15,141,0.9719358075641679,0.009121633720637798
random,15,142,0.9632238939652261,0.011242358700937255
random,15,143,0.9580419580419581,0.0040713579129151726
random,15,144,0.9807370556736849,0.021501145146957723
random,15,145,0.965034965034965,0.002372382341599183
random,15,146,0.9352028352316922,0.001764659725365923
random,15,147,0.9246949382066171,0.003010365005113758
random,15,148,0.8811188811188813,0.010573485572489652
random,15,149,0.9403566658021552,0.007274510001173646
random,15,150,0.9176896735232337,0.0024120986536559177
random,15,151,0.9440559440559443,0.004203745619770977
random,15,152,0.9790209790209792,0.0029334540516070626
random,15,153,0.9440559440559443,0.00636986067099241
random,15,154,0.9807370556736849,0.000723840182418725
random,15,155,0.9790209790209792,0.004492476904246941
random,15,156,0.9632238939652261,0.0012773468806062704
random,15,157,0.9440559440559443,0.003676716462954577
random,15,158,0.9440559440559443,0.06301036500511376
random,15,159,0.99124495269876,0.010323209764767038
random,15,160,0.9720279720279721,0.009896417014570023
random,15,161,0.9492133645984593,0.013805006455074367
random,15,162,0.9580419580419581,0.01079539258588602
random,15,163,0.9141870411815418,0.0041186392367922485
random,15,164,0.9579006334477178,0.010352208976744976
random,15,165,0.9157951110983675,0.01284992371275757
random,15,166,0.9720279720279721,0.006241885887698477
random,15,167,0.9246949382066171,0.013037788172962472
random,15,168,0.965034965034965,0.006162453263584999
random,15,169,0.9211923058649254,0.0056890096071626145
random,15,170,0.9352028352316922,0.006264580923159458
random,15,171,0.9930069930069931,0.01783967942591756
random,15,172,0.9368478722730427,0.004322264138289488
random,15,173,0.9720279720279721,0.0036262830508190466
random,15,174,0.9562186292818428,0.002846456415673257
random,15,175,0.9580419580419581,0.0017690726489277876
random,15,176,0.9510489510489512,0.0023408614590144745
random,15,177,0.9790209790209792,0.029325258622135045
random,15,178,0.9859709816806179,0.010344643964924636
random,15,179,0.9300699300699302,0.004309025367603908
random,15,180,0.9440559440559443,0.009239521821504624
