method,budget,repeat,rho_all,mse_new
random,5,0,0.9087775240401426,0.004726361853025501
random,5,1,0.9349866335633118,0.017821397314018408
random,5,2,0.8896686147896997,0.07202281575373473
random,5,3,0.9310449102536038,0.012278134902670892
random,5,4,0.811516378437229,0.021180262562245353
random,5,5,0.8912335563945798,0.0327490568884865
random,5,6,0.9736514943497644,0.07931359589557868
random,5,7,0.9790209790209792,0.00734763844877019
random,5,8,0.912286317569255,0.006377425682812737
random,5,9,0.9347806145306725,0.003251184548060962
random,5,10,0.9293808429533887,0.011523524973592875
random,5,11,0.8947423499236925,0.006161822845933301
random,5,12,0.9470496802718942,0.015495156179266648
random,5,13,0.9631065323170955,0.03148380866153614
random,5,14,0.9455315955959807,0.0329816810019617
random,5,15,0.904644470707481,0.019585936321110612
random,5,16,0.8587054936793667,0.009373170363663799
random,5,17,0.9360912610920669,0.05193770937075599
random,5,18,0.8511396590310907,0.02690508525728082
random,5,19,0.8756580854229328,0.09728806398068507
random,5,20,0.8905094008526766,0.20083416327146522
random,5,21,0.9630004066674477,0.034961822845933306
random,5,22,0.9490465829402037,0.011591610079975856
random,5,23,0.8231186002975568,0.038593028519692145
random,5,24,0.7482517482517484,0.016550475328202804
random,5,25,0.8596544146325672,0.051659695186358816
random,5,26,0.9136157704280913,0.0067518937679191164
random,5,27,0.9771664816939875,0.008017141994869472
random,5,28,0.9647185175903997,0.025129198732458138
random,5,29,0.9559454586332539,0.07228380866153612
random,5,30,0.6935212036549627,0.04392068809416024
random,5,31,0.8562372971055299,0.020051184548060968
random,5,32,0.9056999695472499,0.02548664554096876
random,5,33,0.6219430736113931,0.024601539157990026
random,5,34,0.9559454586332539,0.017968915044514856
random,5,35,0.6903184695796681,0.0554440923494794
random,5,36,0.9209266841864199,0.005997283838841099
random,5,37,0.900176511814775,0.01952352497359287
random,5,38,0.8752318487115212,0.014678134902670899
random,5,39,0.9527159969401509,0.026638418590614152
random,5,40,0.9894797752097304,0.028760404406217004
random,5,41,0.8210576858123295,0.017776007243096425
random,5,42,0.9246949382066171,0.018695156179266648
random,5,43,0.8445704238245623,0.018944801569337564
random,5,44,0.9368478722730427,0.06979302851969219
random,5,45,0.9317002028900006,0.008635581711181535
random,5,46,0.8799080984615733,0.013588773200543235
random,5,47,0.8210576858123295,0.011194446959408473
random,5,48,0.8666720016907923,0.005361822845933305
random,5,49,0.7929812163376702,0.019358985966500677
random,5,50,0.9560765576286495,0.00112352497359288
random,5,51,0.4147685066183113,0.13411075901614605
random,5,52,0.7314130399200134,0.10834622000905388
random,5,53,0.554389377599778,0.01737884412252905
random,5,54,0.9352028352316922,0.011268205824656709
random,5,55,0.8283821634956019,0.05295331220763542
random,5,56,0.9614094269768303,0.014644092349479417
random,5,57,0.8928067854326359,0.07594338312962125
random,5,58,0.934585004969397,0.032090900860117705
random,5,59,0.9211923058649254,0.03265260298777727
random,5,60,0.920670718462285,0.011863950505507771
random,5,61,0.918998002970077,0.009741964689904932
random,5,62,0.9560765576286495,0.005412886675720541
random,5,63,0.8666720016907923,0.014507922136713433
random,5,64,0.9542490146014182,0.008397283838841111
random,5,65,0.9505834477355953,0.003183099441677977
random,5,66,0.8842159693363548,0.018950475328202807
random,5,67,0.8803035190049984,0.015018560434585796
random,5,68,0.9667265263069179,0.012187354760826913
random,5,69,0.8536487121374444,0.015932035611890747
random,5,70,0.9680794315126894,0.018649766108344658
random,5,71,0.7508818152300792,0.0018611136260751528
random,5,72,0.866476742519613,0.019682390221819834
random,5,73,0.8842159693363548,0.011347638448770188
random,5,74,0.9717860525178018,0.002133454051607066
random,5,75,0.9579006334477178,0.014048347668628336
random,5,76,0.9457107322567676,0.024419978874302098
random,5,77,0.9520546923980934,0.03552352497359288
random,5,78,0.9422080999150758,0.03381572355515316
random,5,79,0.8561456211034547,0.008522106533876564
random,5,80,0.9155156597651983,0.0629277802927418
random,5,81,0.7873571651059467,0.08203700015089783
random,5,82,0.8007366018809912,0.010740546250188615
random,5,83,0.8651501883978578,0.008590191640259544
random,5,84,0.99124495269876,0.04038593632111062
random,5,85,0.7228482315851594,0.021946220009053857
random,5,86,0.7908721524501697,0.020663950505507768
random,5,87,0.7132867132867133,0.08215047532820278
random,5,88,0.8712860822229289,0.025917851214727627
random,5,89,0.8898205903916986,0.003268205824656704
random,5,90,0.9700553547016413,0.018207212916855283
random,5,91,0.9789533946223928,0.061656858306926215
random,5,92,0.9349866335633118,0.02835756752678438
random,5,93,0.9136157704280913,0.04324551078919572
random,5,94,0.8445704238245623,0.0761816810019617
random,5,95,0.9579006334477178,0.005237000150897844
random,5,96,0.8283821634956019,0.05720863135657159
random,5,97,0.9180679479659083,0.014615723555153165
random,5,98,0.6996859578128174,0.03888806398068507
random,5,99,0.9470496802718942,0.13030934057642976
random,5,100,0.9052687305110301,0.014269624264373006
random,5,101,0.8501212381203476,0.011608631356571607
random,5,102,0.7866267058126037,0.05602281575373471
random,5,103,0.9138967094979737,0.003211468236004223
random,5,104,0.9789533946223928,0.023631326392032595
random,5,105,0.6938585642954614,0.10082848951259997
random,5,106,0.8631632081616797,0.007943383129621256
random,5,107,0.9333390787439302,0.040629907952316295
random,5,108,0.9470496802718942,0.03375331220763543
random,5,109,0.9347806145306725,0.032601539157990043
random,5,110,0.9700553547016413,0.031591610079975845
random,5,111,0.8189920512039535,0.011852602987777272
random,5,112,0.8853959782913163,0.03336749660479856
random,5,113,0.9807370556736849,0.017543383129621247
random,5,114,0.9065608223938976,0.05228380866153614
random,5,115,0.9492133645984593,0.019438418590614164
random,5,116,0.7060180864974626,0.11114338312962126
random,5,117,0.9556204403096967,0.009202957597706353
random,5,118,0.8721554530812411,0.04574763844877019
random,5,119,0.9024243712232556,0.04179302851969217
random,5,120,0.9682522850541008,0.019886645540968764
random,5,121,0.9136157704280913,0.009810049796287917
random,5,122,0.9403566658021552,0.09248806398068508
random,5,123,0.8853959782913163,0.05942139731401839
random,5,124,0.8471119499577373,0.05772494341330917
random,5,125,0.8771739862544231,0.007642673909763087
