method,subject,budget,rank,true_rank
random,kimi-k2.5__react,85,3.0,3.0
random,deepseek-v3.2__react,85,4.0,4.0
random,kimi-k2.5__tool_calling,85,5.0,5.0
random,deepseek-v3.2__tool_calling,85,6.0,6.0
stratified_proportional,claude-opus-4.8__react,85,1.0,1.0
stratified_proportional,claude-opus-4.8__tool_calling,85,2.0,2.0
stratified_proportional,kimi-k2.5__react,85,3.0,3.0
stratified_proportional,deepseek-v3.2__react,85,4.0,4.0
stratified_proportional,kimi-k2.5__tool_calling,85,5.0,5.0
stratified_proportional,deepseek-v3.2__tool_calling,85,6.0,6.0
stratified_irt,claude-opus-4.8__react,90,1.0,1.0
stratified_irt,claude-opus-4.8__tool_calling,90,2.0,2.0
stratified_irt,kimi-k2.5__react,90,3.0,3.0
stratified_irt,deepseek-v3.2__react,90,4.0,4.0
stratified_irt,kimi-k2.5__tool_calling,90,5.0,5.0
stratified_irt,deepseek-v3.2__tool_calling,90,6.0,6.0
random,claude-opus-4.8__react,90,1.0,1.0
random,claude-opus-4.8__tool_calling,90,2.0,2.0
random,kimi-k2.5__react,90,3.0,3.0
random,deepseek-v3.2__react,90,4.0,4.0
random,kimi-k2.5__tool_calling,90,5.0,5.0
random,deepseek-v3.2__tool_calling,90,6.0,6.0
stratified_proportional,claude-opus-4.8__react,90,1.0,1.0
stratified_proportional,claude-opus-4.8__tool_calling,90,2.0,2.0
stratified_proportional,kimi-k2.5__react,90,3.0,3.0
stratified_proportional,deepseek-v3.2__react,90,4.0,4.0
stratified_proportional,kimi-k2.5__tool_calling,90,5.0,5.0
stratified_proportional,deepseek-v3.2__tool_calling,90,6.0,6.0
