sampler,budget,repeat,global_mse,global_spearman,global_kendall,mean_per_env_mse,mean_per_env_spearman,coverage__resistor,coverage__retro,coverage__spectra,coverage__wetlab
random,5,0,0.02086366666666666,0.7873571651059467,0.6668470174522374,0.07109621913580248,0.6326810406303214,0,1,3,1
random,5,1,0.04129033333333334,0.9666215196613185,0.8839599998785472,0.03960833333333333,0.9647185175903997,0,0,5,0
random,5,2,0.032236999999999995,0.9455315955959807,0.8219277191853159,0.014046759259259254,0.9575596886805987,2,0,3,0
random,5,3,0.005237000000000001,0.9422080999150758,0.8397191227596315,0.08359868827160494,0.88052023833147,1,1,3,0
random,5,4,0.032543666666666665,0.9771103027358352,0.9066928292470475,0.08475054012345679,0.6218493545605842,0,1,2,2
random,5,5,0.00802366666666667,0.8666720016907923,0.7385489458759964,0.04521350308641975,0.8351003141206998,0,2,1,2
random,5,6,0.072037,0.9204246261062242,0.8263342440128466,0.1117193672839506,0.7022051940898993,1,2,0,2
random,5,7,0.006756999999999999,0.9160839160839163,0.7878787878787877,0.020330092592592598,0.8663419668143091,0,0,3,2
random,5,8,0.010370333333333336,0.8881118881118882,0.6666666666666666,0.08203049768518518,0.6585789140402856,1,1,1,2
random,5,9,0.010077,0.9366429442213183,0.8219277191853159,0.0635931327160494,0.7491664291311094,0,1,2,2
random,5,10,0.008383666666666666,0.8995058743597039,0.781631749350903,0.06283387345679013,0.716284383217911,0,1,2,2
random,5,11,0.004743666666666668,0.9805806756909201,0.9454836825347087,0.11651905864197531,0.7586760202550605,0,1,2,2
random,5,12,0.013797000000000005,0.8889234523084132,0.7503664793768668,0.047435532407407395,0.9361422097708912,0,1,0,4
random,5,13,0.01805033333333333,0.8943883753090783,0.7598954384920844,0.07805609567901232,0.7373592018611533,0,1,2,2
random,5,14,0.03425033333333334,0.912286317569255,0.7693218186208295,0.05167993827160494,0.8497577516298792,1,0,2,2
random,5,15,0.019156999999999997,0.8092327491875514,0.6776907694051248,0.09391720679012344,0.5257275299934873,0,1,3,1
random,5,16,0.014183666666666664,0.8541419246461831,0.7288792981454687,0.09746041666666667,0.714997274638831,0,1,3,1
random,5,17,0.09945033333333335,0.9470496802718942,0.8668137748205085,0.13831979166666664,0.6551400543226878,0,3,0,2
random,5,18,0.028197000000000003,0.8928067854326359,0.7909115788387002,0.05230609567901235,0.7609559896971572,0,2,1,2
random,5,19,0.09194366666666665,0.8254289200006695,0.6878359394287946,0.1517042438271605,0.670683210700394,0,1,2,2
random,5,20,0.15823700000000002,0.904644470707481,0.7722522721128167,0.13472210648148145,0.8532417228163884,0,3,2,0
random,5,21,0.04267699999999999,0.7684257828756417,0.6462303276414968,0.08662771990740743,0.7334441686436566,1,2,1,1
random,5,22,0.01783700000000001,0.9366429442213183,0.8219277191853159,0.01722361111111111,0.955389027477131,0,0,1,4
random,5,23,0.021383666666666676,0.9473742528603802,0.8616404368553291,0.09046905864197534,0.7901517232101112,1,1,3,0
random,5,24,0.0054103333333333364,0.9228126981565926,0.8000946913656627,0.09374128086419753,0.914819819419939,0,1,2,2
random,5,25,0.015397000000000001,0.9894548898363074,0.9613752775282004,0.11290486111111113,0.6740965772296581,0,1,3,1
random,5,26,0.005063666666666667,0.9595915449728726,0.8839599998785472,0.06337077546296295,0.7408635882394107,1,2,1,1
random,5,27,0.011903666666666667,0.8928067854326359,0.7909115788387002,0.08125979938271606,0.7314886768168268,0,1,2,2
random,5,28,0.023810333333333333,0.9453630365819632,0.8441622892989752,0.036677314814814815,0.9236648780075081,0,0,2,3
random,5,29,0.041663666666666675,0.9702291586486097,0.9007896044148774,0.0483929012345679,0.8488370831366977,2,0,1,2
random,5,30,0.012943666666666666,0.9453630365819632,0.8754275592730113,0.07654438657407406,0.737547545014708,1,1,2,1
random,5,31,0.029237000000000003,0.8631632081616797,0.7077760731311632,0.08655918209876544,0.5593035799661239,0,1,1,3
random,5,32,0.02465033333333333,0.8912335563945798,0.7693218186208295,0.10393969907407409,0.7547879746689767,0,1,4,0
random,5,33,0.009143666666666666,0.8456192405161171,0.7385489458759964,0.08698883101851854,0.7022343272793482,1,1,2,1
random,5,34,0.005583666666666663,0.9385016209075346,0.8529438595319315,0.03757461419753085,0.8150924785510272,0,2,2,1
random,5,35,0.032797,0.9433573165103848,0.858116330321033,0.11021350308641975,0.5873355935770097,0,2,2,1
random,5,36,0.017703666666666663,0.9645071826879194,0.9051114573693302,0.09664868827160493,0.7855734042280241,0,1,2,2
random,5,37,0.019317000000000004,0.8391608391608393,0.6969696969696969,0.07949577546296296,0.719543039171328,1,1,2,1
random,5,38,0.008036999999999997,0.8995058743597039,0.7503664793768668,0.03632461419753086,0.5314809379989051,0,2,2,1
random,5,39,0.03154366666666668,0.8771983822781297,0.7385489458759964,0.07525979938271606,0.7111981585767783,0,2,2,1
random,5,40,0.021943666666666663,0.9649182205059428,0.8924133096001623,0.039676331018518515,0.8124966556053325,1,2,1,1
random,5,41,0.016330333333333346,0.8966738794730833,0.7481134002767627,0.03305956790123457,0.8954184433442336,2,0,1,2
random,5,42,0.017903666666666665,0.9577702286774382,0.8839599998785472,0.05265549768518518,0.9177095756847728,1,1,2,1
random,5,43,0.013303666666666667,0.8783410302571225,0.7503664793768668,0.051120910493827165,0.6602229386869839,0,2,1,2
random,5,44,0.05838366666666666,0.9841964563824335,0.9459922805717786,0.11460173611111113,0.7644887776802851,0,2,3,0
random,5,45,0.014983666666666668,0.9455315955959807,0.8529438595319315,0.045361651234567896,0.9232765534633337,0,1,2,2
random,5,46,0.01066366666666667,0.8732610908529584,0.7191012094028307,0.043611651234567894,0.5829254193694321,0,2,2,1
random,5,47,0.026490333333333334,0.6456180093567035,0.43082021842766455,0.14209313271604937,0.35424378443666976,0,1,2,2
random,5,48,0.018263666666666668,0.9036791441564668,0.7786486411043856,0.12692955246913581,0.7377739151828009,0,1,1,3
random,5,49,0.017623666666666666,0.9507278005253983,0.8754275592730113,0.042176466049382716,0.7201678541282638,0,2,2,1
random,5,50,0.006410333333333335,0.8721554530812411,0.7481134002767627,0.016203587962962965,0.8965088390820993,0,3,2,0
random,5,51,0.031677000000000004,0.9488905105990603,0.8754275592730113,0.09000054012345678,0.5274735642977852,0,2,2,1
random,5,52,0.067117,0.8390024476429815,0.699205898780101,0.11066412037037036,0.6794204002148468,0,1,3,1
random,5,53,0.008983666666666668,0.9147355669226661,0.7945521577046601,0.09936782407407407,0.6719400858707893,0,1,1,3
random,5,54,0.01465033333333333,0.9492133645984593,0.8702543635872545,0.03996105324074074,0.7956244614028669,1,2,1,1
random,5,55,0.030103666666666657,0.8471119499577373,0.697863157798853,0.08057910879629629,0.6995044287597368,1,2,1,1
random,5,56,0.01173033333333333,0.898251143452805,0.7693218186208295,0.1337011574074074,0.720417287603779,0,1,3,1
random,5,57,0.049476999999999986,0.7244223300587249,0.583129266697433,0.11217633101851852,0.6512008298970577,1,1,2,1
random,5,58,0.024583666666666667,0.9455315955959807,0.8219277191853159,0.05400833333333334,0.8488277892410228,0,0,4,1
random,5,59,0.01382366666666667,0.86930679607047,0.7407317712102527,0.10675671296296295,0.6937708359033218,0,1,3,1
random,5,60,0.008077,0.9543918399186052,0.8616404368553291,0.018452777777777773,0.8496320737673704,0,0,4,1
random,5,61,0.013383666666666664,0.8588691885909221,0.7705289916987292,0.015898032407407406,0.6533850615665421,0,2,3,0
random,5,62,0.01738366666666667,0.9277256664964789,0.8128970193249391,0.08621350308641977,0.6894243740681985,0,1,3,1
random,5,63,0.009237,0.8596544146325672,0.7077760731311632,0.08453757716049383,0.6165330848575391,0,1,2,2
random,5,64,0.005023666666666667,0.9138967094979737,0.7909115788387002,0.03891805555555555,0.8100551537154048,0,0,1,4
random,5,65,0.02162366666666667,0.9347806145306725,0.8128970193249391,0.04548202160493827,0.8236743305628837,0,2,1,2
random,5,66,0.009330333333333336,0.912286317569255,0.7693218186208295,0.030958796296296297,0.939696084341967,1,0,4,0
random,5,67,0.022357000000000002,0.9059772230784653,0.7852322109186565,0.08500979938271604,0.8630127328114948,0,1,2,2
random,5,68,0.012943666666666664,0.8889234523084132,0.781631749350903,0.03532399691358024,0.8121584487372644,2,2,1,0
random,5,69,0.009197000000000006,0.9682522850541008,0.8983342757230725,0.03652916666666667,0.8052099546137039,0,0,4,1
random,5,70,0.007877000000000004,0.9453630365819632,0.8441622892989752,0.049779166666666666,0.6644853920047649,0,0,4,1
random,5,71,0.010303666666666673,0.9014308034611184,0.7598954384920844,0.09435555555555555,0.9067664281552255,0,0,1,4
random,5,72,0.026663666666666672,0.9171432444451882,0.8128970193249391,0.0410287037037037,0.9231480906524906,1,0,3,1
random,5,73,0.010117,0.9435159128081931,0.8668137748205085,0.08150979938271606,0.8015975189374283,0,1,2,2
random,5,74,0.018570333333333335,0.9611847501266985,0.8983342757230725,0.09115794753086419,0.8965346335906633,0,1,2,2
random,5,75,0.013356999999999999,0.9377917007516801,0.8493327995650773,0.06741720679012345,0.7918236712687438,0,1,2,2
random,5,76,0.033503666666666675,0.9293808429533887,0.8668137748205085,0.09509621913580246,0.7509840127709245,0,1,3,1
random,5,77,0.029383666666666666,0.9520546923980934,0.8813830938882877,0.0802505401234568,0.7860718073272509,0,1,3,1
random,5,78,0.021450333333333335,0.9084732316131584,0.781631749350903,0.09503449074074073,0.4844606010906857,0,1,3,1
random,5,79,0.013197000000000006,0.803513718166767,0.6154574548966636,0.029904166666666662,0.7738950745505404,0,0,3,2
random,5,80,0.02957033333333332,0.9438654593312678,0.8308675641104959,0.08518327546296296,0.8100682568021522,1,1,1,2
random,5,81,0.04674366666666666,0.9033517474653049,0.7909115788387002,0.09718572530864199,0.4303696756170902,0,2,2,1
random,5,82,0.009783666666666661,0.8752318487115212,0.7598954384920844,0.010699421296296297,0.8697129099976078,0,3,0,2
random,5,83,0.008103666666666674,0.9771103027358352,0.9066928292470475,0.04006388888888888,0.8652130464764539,0,0,4,1
random,5,84,0.034677000000000006,0.7915949092223313,0.6259724369662708,0.06947494212962965,0.6902039723026985,1,1,2,1
random,5,85,0.008543666666666663,0.8877247628654673,0.7385489458759964,0.05039027777777778,0.8062648016029008,0,0,4,1
random,5,86,0.016983666666666668,0.7838421777617237,0.6668470174522374,0.10108605324074076,0.6330967406540241,1,1,1,2
random,5,87,0.05090366666666667,0.9719358075641679,0.8924133096001623,0.13306574074074073,0.8839361799126554,1,0,3,1
random,5,88,0.023836999999999994,0.9279566588748658,0.8219277191853159,0.10672276234567901,0.7331872093518186,0,2,2,1
random,5,89,0.00941033333333333,0.9371600188390511,0.8796756226598123,0.11548510802469136,0.6974796872014339,0,1,1,3
