sampler,budget,repeat,global_mse,global_spearman,global_kendall,mean_per_env_mse,mean_per_env_spearman,coverage__retro,coverage__spectra,coverage__wetlab
random,5,0,0.009871329409989436,0.9087775240401426,0.8000946913656627,0.08473819444444446,0.658880515092231,1,1,3
random,5,1,0.031956435792968176,0.9349866335633118,0.8219277191853159,0.08114953703703702,0.8370760563941355,0,2,3
random,5,2,0.037922393239776676,0.8896686147896997,0.7786486411043856,0.14112708333333335,0.7094043253655089,1,3,1
random,5,3,0.011023102459634828,0.9310449102536038,0.8263342440128466,0.08931157407407406,0.8164845030604975,0,3,2
random,5,4,0.04058054926814546,0.811516378437229,0.6356417261637282,0.10591103395061728,0.6371393892430789,1,3,1
random,5,5,0.03168693224686888,0.8912335563945798,0.7385489458759964,0.08105918209876543,0.7107219283414169,1,1,3
random,5,6,0.07271955636034404,0.9736514943497644,0.9149761402251629,0.1145190586419753,0.7229680987300746,2,2,1
random,5,7,0.006084095367436248,0.9790209790209792,0.909090909090909,0.030006018518518522,0.8452934245679187,0,3,2
random,5,8,0.008064237211407877,0.912286317569255,0.7693218186208295,0.01557858796296296,0.7666990568192205,2,3,0
random,5,9,0.01087274784970575,0.9347806145306725,0.8441622892989752,0.06763942901234567,0.8080835790265676,1,3,1
random,5,10,0.01259473366530859,0.9293808429533887,0.8037727730153806,0.15151597222222224,0.7383628411516049,1,3,1
random,5,11,0.008120974800060358,0.8947423499236925,0.7385489458759964,0.019033796296296302,0.842903138171344,0,3,2
random,5,12,0.011902535083748307,0.9470496802718942,0.8352932739179446,0.04218194444444444,0.8603727043266052,0,4,1
random,5,13,0.018952180473819226,0.9631065323170955,0.8839599998785472,0.09462708333333332,0.8348595529163528,1,3,1
random,5,14,0.023082676927719942,0.9455315955959807,0.8529438595319315,0.0864744212962963,0.8482482024527006,1,4,0
random,5,15,0.015479840048287312,0.904644470707481,0.8037727730153806,0.09797276234567899,0.8620019456156914,1,2,2
random,5,16,0.011309627282329862,0.8587054936793667,0.7407317712102527,0.04260239197530863,0.7224819849990389,2,2,1
random,5,17,0.04855501735325185,0.9360912610920669,0.8263342440128466,0.11734313271604939,0.7227251483500611,2,1,2
random,5,18,0.025922393239776673,0.8511396590310907,0.6565076777938937,0.03558935185185185,0.7496870278543207,0,3,2
random,5,19,0.08121884714048587,0.8756580854229328,0.7175781594491396,0.10400054012345679,0.8199139709908602,2,1,2
random,5,20,0.157323811679493,0.8905094008526766,0.8037727730153806,0.18891720679012347,0.7394588692246691,2,2,1
random,5,21,0.04067416628942206,0.9630004066674477,0.9066928292470475,0.13310239197530865,0.7649358692338613,2,1,2
random,5,22,0.013459981892258941,0.9490465829402037,0.8529438595319315,0.036024537037037035,0.9034483187786663,0,3,2
random,5,23,0.023434449977365313,0.8231186002975568,0.6565076777938937,0.032967476851851855,0.7544144347725612,3,2,0
random,5,24,0.013848634374528443,0.7482517482517484,0.606060606060606,0.03156388888888889,0.8424584842148443,0,1,4
random,5,25,0.02730111664403198,0.8596544146325672,0.7385489458759964,0.07841720679012346,0.8732669319297777,2,1,2
