method,subject,group,budget,sq_err,rho_all,rho_new_only,rho_legacy_only
irt_maxinfo,claude-opus-4.8__react,new,5,0.10736079674060656,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,claude-opus-4.8__tool_calling,new,5,0.05739592575826177,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,claude-4.5__react,legacy,5,0.2784246265278408,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,kimi-k2.5__react,new,5,0.2568548664554096,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,claude-4.5__tool_calling,legacy,5,0.3013309189678588,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,deepseek-v3.2__react,new,5,0.25085178813942954,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,kimi-k2.5__tool_calling,new,5,0.318864463558171,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,deepseek-v3.2__tool_calling,new,5,0.19811969216840195,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,gpt-oss-120b__tool_calling,legacy,5,0.15526953372566776,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,gpt-4o__react,legacy,5,0.0006737890448166579,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,gpt-4o__tool_calling,legacy,5,0.004635581711181532,0.8571761861545412,0.6377481392176932,0.9276336570439175
irt_maxinfo,gpt-oss-120b__react,legacy,5,0.0004526935264825713,0.8571761861545412,0.6377481392176932,0.9276336570439175
stratified_irt,claude-opus-4.8__react,new,5,0.10736079674060656,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,claude-opus-4.8__tool_calling,new,5,0.05739592575826177,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,claude-4.5__react,legacy,5,0.2784246265278408,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,kimi-k2.5__react,new,5,0.2989995473064735,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,claude-4.5__tool_calling,legacy,5,0.3013309189678588,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,deepseek-v3.2__react,new,5,0.25085178813942954,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,kimi-k2.5__tool_calling,new,5,0.318864463558171,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,deepseek-v3.2__tool_calling,new,5,0.23532820280669983,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,gpt-oss-120b__tool_calling,legacy,5,0.12534612947034857,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,gpt-4o__react,legacy,5,0.011226980534178366,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,gpt-4o__tool_calling,legacy,5,0.0007887732005432326,0.8629109946080098,0.5884898863364996,0.9856107606091623
stratified_irt,gpt-oss-120b__react,legacy,5,0.0004526935264825713,0.8629109946080098,0.5884898863364996,0.9856107606091623
random,claude-opus-4.8__react,new,5,0.028537477591670437,0.8827620526385018,0.796024224076968,0.8402125847308646
random,claude-opus-4.8__tool_calling,new,5,0.026969032141240384,0.8827620526385018,0.796024224076968,0.8402125847308646
random,claude-4.5__react,legacy,5,0.03120930737890448,0.8827620526385018,0.796024224076968,0.8402125847308646
random,kimi-k2.5__react,new,5,0.036559717519239476,0.8827620526385018,0.796024224076968,0.8402125847308646
random,claude-4.5__tool_calling,legacy,5,0.03212462109551833,0.8827620526385018,0.796024224076968,0.8402125847308646
random,deepseek-v3.2__react,new,5,0.03452804345857854,0.8827620526385018,0.796024224076968,0.8402125847308646
random,kimi-k2.5__tool_calling,new,5,0.029279101856043453,0.8827620526385018,0.796024224076968,0.8402125847308646
random,deepseek-v3.2__tool_calling,new,5,0.027408713444997738,0.8827620526385018,0.796024224076968,0.8402125847308646
random,gpt-oss-120b__tool_calling,legacy,5,0.01816298053417836,0.8827620526385018,0.796024224076968,0.8402125847308646
random,gpt-4o__react,legacy,5,0.01676264010864645,0.8827620526385018,0.796024224076968,0.8402125847308646
random,gpt-4o__tool_calling,legacy,5,0.014811922136713444,0.8827620526385018,0.796024224076968,0.8402125847308646
random,gpt-oss-120b__react,legacy,5,0.0019274169307378901,0.8827620526385018,0.796024224076968,0.8402125847308646
stratified_proportional,claude-opus-4.8__react,new,5,0.030095605251244904,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,claude-opus-4.8__tool_calling,new,5,0.029153202354006345,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,claude-4.5__react,legacy,5,0.021457647804436396,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,kimi-k2.5__react,new,5,0.027998696242643728,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,claude-4.5__tool_calling,legacy,5,0.024238323223177906,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,deepseek-v3.2__react,new,5,0.029213660479855137,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,kimi-k2.5__tool_calling,new,5,0.026269399728383883,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,deepseek-v3.2__tool_calling,new,5,0.02408581982797646,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,gpt-oss-120b__tool_calling,legacy,5,0.014384597555454959,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,gpt-4o__react,legacy,5,0.009268172023540064,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,gpt-4o__tool_calling,legacy,5,0.009657709370755996,0.8978139382984535,0.7978051067933707,0.8562925657692603
stratified_proportional,gpt-oss-120b__react,legacy,5,0.0015221403349932093,0.8978139382984535,0.7978051067933707,0.8562925657692603
irt_maxinfo,claude-opus-4.8__react,new,10,0.10736079674060656,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,claude-opus-4.8__tool_calling,new,10,0.06737890448166599,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,claude-4.5__react,legacy,10,0.2784246265278408,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,kimi-k2.5__react,new,10,0.19963784517881397,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,claude-4.5__tool_calling,legacy,10,0.183986238116795,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,deepseek-v3.2__react,new,10,0.13021349026708917,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,kimi-k2.5__tool_calling,new,10,0.19774105930285205,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,deepseek-v3.2__tool_calling,new,10,0.11909841557265721,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,gpt-oss-120b__tool_calling,legacy,10,0.05477591670439116,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,gpt-4o__react,legacy,10,0.027541874151199627,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,gpt-4o__tool_calling,legacy,10,0.02825260298777727,0.9736514943497644,0.9276336570439175,0.9856107606091623
irt_maxinfo,gpt-oss-120b__react,legacy,10,0.0004526935264825713,0.9736514943497644,0.9276336570439175,0.9856107606091623
stratified_irt,claude-opus-4.8__react,new,10,0.10736079674060656,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,claude-opus-4.8__tool_calling,new,10,0.06737890448166599,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,claude-4.5__react,legacy,10,0.2784246265278408,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,kimi-k2.5__react,new,10,0.2179101856043458,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,claude-4.5__tool_calling,legacy,10,0.23905857854232687,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,deepseek-v3.2__react,new,10,0.21238370303304668,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,kimi-k2.5__tool_calling,new,10,0.2752899954730648,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,deepseek-v3.2__tool_calling,new,10,0.18071543684925298,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,gpt-oss-120b__tool_calling,legacy,10,0.05477591670439113,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,gpt-4o__react,legacy,10,0.03458017202354006,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,gpt-4o__tool_calling,legacy,10,0.028252602987777292,0.9438654593312678,0.9276336570439175,1.0
stratified_irt,gpt-oss-120b__react,legacy,10,0.0004526935264825713,0.9438654593312678,0.9276336570439175,1.0
random,claude-opus-4.8__react,new,10,0.013810200995925758,0.9284818384269488,0.8754613364865514,0.8759905426890594
random,claude-opus-4.8__tool_calling,new,10,0.012549798098687184,0.9284818384269488,0.8754613364865514,0.8759905426890594
