feature,logreg,rf,xgb,avg_importance
level,1.0,1.0,0.42531796778464837,0.8084393225948828
assistant_steps_to_first_tool_call,0.3917527107333663,0.7439987665130504,1.0,0.7119171590821388
give_up_count,0.902667000847548,0.43975504021913014,0.07914926417410337,0.47385710174692713
uncertainty_marker_count,0.3410476613437594,0.693680927852949,0.26071800378939103,0.43181553099536646
early_final_answer_count,0.9096152658354,0.2649151767023332,0.10986925086821182,0.428133231135315
total_tokens,0.28767034612089704,0.5327857624985679,0.09523246733675227,0.3052295253187391
qa_score,0.7612036122253769,0.04709597163235192,0.08535358315689488,0.2978843890048746
assistant_steps_count,0.6382371876312882,0.11949650424542664,0.04716855387119484,0.2683007485826366
uncertainty_marker_ratio,0.14064266683691085,0.612142335692547,0.03676848061187873,0.2631844943804455
retry_rate,0.4874034274099794,0.24240412131649655,0.05855762309091342,0.26278839060579645
prompt_tokens,0.2880834052055295,0.41008714984581374,0.04191161628846865,0.24669405711327064
problem_marker_count,0.14758979193879013,0.5036196932769474,0.05141068648642023,0.23420672390071925
positive_marker_ratio,0.3048126142170656,0.28595153317144334,0.101617449369232,0.23079386558591367
tool_diversity_entropy,0.5275902021681697,0.12752542314909643,0.015644556277599933,0.22358672719828868
annotatable_steps_count,0.4420434757834948,0.18966633969768698,0.03819467221142908,0.22330149589753692
has_tool_error_in_first_step,0.4462078602751071,0.024876281646953338,0.18860458548518555,0.21989624246908201
hallucination_count,0.35695303213031987,0.23948230288861477,0.04794590539789928,0.21479374680561128
problem_marker_ratio,0.11551069378480469,0.4524048683683044,0.041029485672972626,0.2029816826086939
most_used_tool_ratio,0.4526692675924283,0.1446370684002671,0.007616578333268839,0.2016409714419881
most_used_tool_count,0.4492387466289865,0.12148168014495864,0.0,0.19024014225798172
