environment,best_test_auc,avg_test_auc,n_samples
ml,0.962962962962963,0.9290123456790124,120
retrosynthesis,0.9605263157894737,0.9566276803118908,280
resistor,0.97005444646098,0.967634603750756,240
all,0.9837597330367075,0.9706896551724138,1343
afm,1.0,0.9940476190476191,166
md,0.9975186104218362,0.9946236559139785,372
catalyst,1.0,1.0,165
