feature,logreg,rf,xgb,avg_importance
total_markers,0.6674007193896625,1.0,1.0,0.8891335731298874
level,0.9480694892194681,0.8528241786169067,0.8127647362222453,0.8712194680195401
give_up_count,1.0,0.21526657286397774,0.32654885259089345,0.5139384751516237
assistant_steps_count,0.98495650362237,0.3625313059950137,0.10516629557509477,0.48421803506415945
uncertainty_marker_count,0.024870542827627337,0.7245320813380166,0.6005081798881874,0.4499702680179438
model_gpt-4o,0.996792527362858,0.1004976675281248,0.22527496154290183,0.44085505214462817
uncertainty_marker_ratio,0.5437984576670315,0.5867220769082889,0.13575241469112193,0.42209098308881415
tool_latency_mean,0.31629451754257304,0.6791786687186474,0.18032476239317283,0.3919326495514644
tool_latency_max,0.5022034832750184,0.48763131731541554,0.1347286881585814,0.37485449624967176
tools_used_count,0.8591322469014645,0.151648376345624,0.0811695188466354,0.36398338069790803
tool_latency_std,0.2640108367736315,0.5881252042580573,0.21994601851560497,0.3573606865157646
avg_thought_length,0.6161993591782705,0.16795121780664568,0.19148889193147614,0.3252131563054641
avg_message_length,0.5494713255678374,0.3090584518930176,0.07634066279968096,0.3116234800868453
avg_assistant_message_length,0.5494713255678374,0.25393790600816807,0.12699113158320957,0.310133454386405
step_count,0.22721002506789179,0.6218861083523977,0.07728808026228179,0.30879473789419043
early_final_answer_count,0.6601199112827352,0.09413808873985373,0.12648257283327652,0.29358019095195514
tool_repetition_rate,0.45101503642865165,0.23882264417303006,0.182984624422249,0.2909407683413103
marker_balance,0.420476059106845,0.27158132882188685,0.18017944786583495,0.29074561193152226
reasoning_to_total_ratio,0.6285871370489051,0.09259808793920539,0.05707523362877885,0.2594201528722965
planning_to_total_ratio,0.3218165552089538,0.2986729904138768,0.12897048951147566,0.2498200117114354
