environment,best_test_auc,avg_test_auc,n_samples
ml,0.7407407407407407,0.4567901234567901,60
catalyst,1.0,0.8333333333333334,60
all,0.9622993654348637,0.959686450167973,518
afm,1.0,0.9696969696969697,70
resistor,1.0,0.9914529914529915,108
md,1.0,0.997530864197531,160
retrosynthesis,1.0,1.0,60
