feature,u_statistic,p_value,significant,effect_size_r,success_median,failure_median,median_diff
total_markers,93000.5,1.0623244091482193e-76,True,0.5851544064840464,10.0,19.0,-9.0
uncertainty_marker_count,105315.0,2.6089390354728685e-74,True,0.530223346313916,0.0,6.0,-6.0
step_count,102829.0,6.47889495907508e-66,True,0.5413126000865371,18.0,29.0,-11.0
level,122881.0,4.269974246218084e-64,True,0.45186701816835506,1.0,2.0,-1.0
uncertainty_marker_ratio,114423.0,1.367423038424736e-63,True,0.48959546081068417,0.0,0.14285714285714285,-0.14285714285714285
longest_looping_sequence,136021.5,1.1867697180545129e-53,True,0.39325143522421613,0.0,0.0,0.0
total_calls,119560.5,1.39557480710236e-49,True,0.46667871050624277,9.0,14.0,-5.0
assistant_steps_count,129938.0,1.3218151026615747e-40,True,0.420387990061602,23.0,36.0,-13.0
loop_instance_count,160583.0,2.6819127437083485e-39,True,0.2836904108733568,0.0,0.0,0.0
steps_to_first_planning,144317.0,2.412057095305493e-38,True,0.3562478532971126,-1.0,3.0,-4.0
assistant_steps_to_first_planning,144317.0,2.412057095305493e-38,True,0.3562478532971126,-1.0,3.0,-4.0
planning_statement_count,138676.5,3.4165384980772296e-37,True,0.3814083263077602,0.0,1.0,-1.0
planning_to_total_ratio,138262.0,1.0687064799193147e-35,True,0.3832572787167512,0.0,0.05555555555555555,-0.05555555555555555
successful_calls,136693.0,3.338027607289352e-35,True,0.39025608771483755,8.0,12.0,-4.0
most_used_tool_count,137535.5,6.989369499911344e-35,True,0.3864979636989754,6.0,10.0,-4.0
unique_tool_calls_ratio,305398.0,1.8966603771893245e-30,True,-0.36228315512911435,0.2857142857142857,0.19139194139194138,0.09432234432234432
neutral_marker_count,143472.5,3.0728215140225694e-30,True,0.36001489867562375,5.0,8.0,-3.0
tool_repetition_rate,145448.0,1.0271564057332842e-28,True,0.35120282271914216,0.7142857142857143,0.8055555555555556,-0.09126984126984128
has_planning_in_first_step,159138.0,1.8167653904727965e-26,True,0.2901360953872094,0.0,1.0,-1.0
neutral_count,150497.5,1.7567849224567094e-25,True,0.3286786123712536,5.0,8.0,-3.0
assistant_steps_to_first_tool_call,287268.0,2.5253943250277436e-24,True,-0.28141100271655484,4.0,3.0,1.0
backtrack_to_total_ratio,176836.0,1.2316794289188732e-23,True,0.21119095730681903,0.0,0.0,0.0
tool_execution_duration,154707.0,1.083826088011224e-22,True,0.309901374335916,2.1407383773475885,36.362266500007536,-34.22152812265995
unnecessary_tool_use_count,267640.5,8.70991200979597e-21,True,-0.1938589800206083,0.0,0.0,0.0
message_length_std,290100.0,1.3760178861775797e-20,True,-0.2940436522274412,780.7708306539122,383.0645797019378,397.70625095197437
negative_marker_count,163322.0,4.3254407138240014e-19,True,0.2714726047256458,1.0,2.0,-1.0
total_errors,171280.0,5.0859026502434855e-18,True,0.23597450274554932,0.0,0.0,0.0
failed_calls,171280.0,5.0859026502434855e-18,True,0.23597450274554932,0.0,0.0,0.0
tool_latency_mean,163712.0,1.4248952692303126e-17,True,0.2697329390091042,0.23956059933536583,2.9139264611997295,-2.6743658618643638
steps_to_first_error,172808.5,5.2792832059212406e-17,True,0.2291563513411038,-1.0,-1.0,0.0
give_up_count,199192.5,2.8185736607688836e-16,True,0.11146573527640613,0.0,0.0,0.0
success_rate,273835.5,7.112791178519963e-16,True,-0.22149290082567208,1.0,1.0,0.0
execution_errors,175901.0,1.6140581681709889e-15,True,0.21536169434519425,0.0,0.0,0.0
error_rate,176092.5,4.7864031265775554e-15,True,0.2145074738715591,0.0,0.0,0.0
inefficient_tool_call_count,185707.0,7.070709607686274e-15,True,0.17162025327748565,0.0,0.0,0.0
assistant_steps_to_first_error,176530.0,7.117727611010576e-15,True,0.21255592579210547,-1.0,-1.0,0.0
error_burstiness,179675.0,2.1825279433536052e-13,True,0.19852708302666144,0.0,0.0,0.0
max_consecutive_failures,179675.0,2.1825279433536052e-13,True,0.19852708302666144,0.0,0.0,0.0
tool_latency_std,174934.0,3.6656190938380535e-12,True,0.21967517318595242,0.3967531098353107,2.333677917943154,-1.9369248081078434
tool_latency_max,175327.0,5.4235672246792285e-12,True,0.21792212542543743,1.0263459142297506,8.488914065557765,-7.462568151328014
early_final_answer_count,202158.0,6.601485696779534e-12,True,0.0982375848087037,0.0,0.0,0.0
