model,category,mean_importance,median_importance,count
LogReg,Complexity Metrics,0.14114195442499117,0.15187326518102115,21
LogReg,Count Metrics,0.16017276571536057,0.10884355679584642,196
LogReg,Distribution Metrics,0.14944053000920188,0.10401766969614178,7
LogReg,Error Metrics,0.13515748400751493,0.08259633547696896,98
LogReg,Other Metrics,0.18611022101314073,0.07293055026482351,56
LogReg,Rate/Ratio Metrics,0.17589700871081987,0.13160911861927926,119
LogReg,Statistical Metrics,0.20276563290599822,0.17667317163854757,14
LogReg,Step Metrics,0.06585461966963918,0.0,161
LogReg,Token Metrics,0.3292939843197207,0.22479402889089872,21
LogReg,Tool Usage,0.20417599512041515,0.14921106874226073,147
RF,Complexity Metrics,0.11391853922262914,0.09844711032596641,21
RF,Count Metrics,0.10536720242702201,0.033204125193250264,196
RF,Distribution Metrics,0.23253705114860126,0.1934595406195088,7
RF,Error Metrics,0.04864080328628029,0.0,98
RF,Other Metrics,0.1469234830587989,0.024816525363918318,56
RF,Rate/Ratio Metrics,0.11935054282251441,0.05860274709112355,119
RF,Statistical Metrics,0.2324069905343983,0.15801262576700553,14
RF,Step Metrics,0.0343323694014067,0.0,161
RF,Token Metrics,0.28892831272829217,0.22278699478217154,21
RF,Tool Usage,0.1656427328794712,0.07512097693873326,147
XGB,Complexity Metrics,0.07213110851696533,0.0,21
XGB,Count Metrics,0.06174032202217352,0.0,196
XGB,Distribution Metrics,0.17067764370760657,0.145078081623712,7
XGB,Error Metrics,0.00929670145714747,0.0,98
XGB,Other Metrics,0.07622324612209427,0.0,56
XGB,Rate/Ratio Metrics,0.06534700727939892,0.0,119
XGB,Statistical Metrics,0.09765714480050137,0.0383789667946207,14
XGB,Step Metrics,0.014061754354522175,0.0,161
XGB,Token Metrics,0.18755506062401134,0.0523360545231705,21
XGB,Tool Usage,0.08265265617970378,0.015007243260666967,147
