environment,best_test_auc,avg_test_auc,n_samples
ml,0.962962962962963,0.9320987654320989,120
retrosynthesis,0.966374269005848,0.9556530214424952,280
all,0.9808120133481646,0.9689840563589173,1343
resistor,0.9891107078039927,0.9745916515426497,240
md,0.9975186104218363,0.9937965260545907,372
afm,1.0,0.9940476190476191,166
catalyst,1.0,1.0,165
