openalex_id,openalex_url,doi,title,publication_year,publication_date,type,cited_by_count,source,primary_field,primary_subfield,topic_fields,topics,keywords,authors_count,author_ids,authors,countries,tier,matched_query_buckets,matched_queries,match_evidence,text
W2921963218,https://openalex.org/W2921963218,https://doi.org/10.1016/j.trechm.2019.02.007,Next-Generation Experimentation with Self-Driving Laboratories,2019,2019-03-06,article,366,Trends in Chemistry,Materials Science,Materials Chemistry,Engineering | Materials Science,Machine Learning in Materials Science | Electronic and Structural Properties of Oxides | Innovative Microfluidic and Catalytic Techniques Innovation,Process (computing) | Computer science | Artificial intelligence | Key (lock) | Data science | Computer security,3,A5015637398 | A5010887205 | A5071495561,Florian Häse | Loı̈c M. Roch | Alán Aspuru‐Guzik,CA | US,strict,expanded | strict,expanded_autonomous_scientific_discovery | strict_self_driving_labs,self_driving_labs,Next-Generation Experimentation with Self-Driving Laboratories Process (computing) ; Computer science ; Artificial intelligence ; Key (lock) ; Data science ; Computer security Machine Learning in Materials Science ; Electronic and Structural Properties of Oxides ; Innovative Microfluidic and Catalytic Techniques Innovation
W2967096001,https://openalex.org/W2967096001,https://doi.org/10.1038/s41598-019-48114-3,A Kriging-Based Approach to Autonomous Experimentation with Applications to X-Ray Scattering,2019,2019-08-14,article,106,Scientific Reports,Materials Science,Materials Chemistry,Decision Sciences | Materials Science | Physics and Astronomy,Machine Learning in Materials Science | Model Reduction and Neural Networks | Scientific Computing and Data Management,Computer science | Context (archaeology) | Kriging | Data point | Set (abstract data type) | Algorithm | Surrogate model | Data mining | Machine learning,6,A5046307547 | A5062034448 | A5015532927 | A5071409218 | A5016341553 | A5038419345,Marcus M. Noack | Kevin G. Yager | Masafumi Fukuto | Gregory S. Doerk | Ruipeng Li | James A. Sethian,US,strict,strict,strict_self_driving_labs,self_driving_labs,"A Kriging-Based Approach to Autonomous Experimentation with Applications to X-Ray Scattering Modern scientific instruments are acquiring data at ever-increasing rates, leading to an exponential increase in the size of data sets. Taking full advantage of these acquisition rates will require corresponding advancements in the speed and efficiency of data analytics and experimental control. A significant step forward would come from automatic decision-making methods that enable scientific instruments to autonomously explore scientific problems-that is, to intelligently explore parameter spaces without human intervention, selecting high-value measurements to perform based on the continually growing experimental data set. Here, we develop such an autonomous decision-making algorithm that is physics-agnostic, generalizable, and operates in an abstract multi-dimensional parameter space. Our approach relies on constructing a surrogate model that fits and interpolates the available experimental data, and is continuously refined as more data is gathered. The distribution and correlation of the data is used to generate a corresponding uncertainty across the surrogate model. By suggesting follow-up measurements in regions of greatest uncertainty, the algorithm maximally increases knowledge with each added measurement. This procedure is applied repeatedly, with the algorithm iteratively reducing model error and thus efficiently sampling the parameter space with each new measurement that it requests. We validate the method using synthetic data, demonstrating that it converges to faithful replica of test functions more rapidly than competing methods, and demonstrate the viability of the approach in an experimental context by using it to direct autonomous small-angle (SAXS) and grazing-incidence small-angle (GISAXS) x-ray scattering experiments. Computer science ; Context (archaeology) ; Kriging ; Data point ; Set (abstract data type) ; Algorithm ; Surrogate model ; Data mining ; Machine learning Machine Learning in Materials Science ; Model Reduction and Neural Networks ; Scientific Computing and Data Management"
W2940709072,https://openalex.org/W2940709072,https://doi.org/10.1557/mrc.2019.50,CRYSTAL: a multi-agent AI system for automated mapping of materials’ crystal structures,2019,2019-04-24,article,34,MRS Communications,Materials Science,Materials Chemistry,Chemical Engineering | Computer Science | Materials Science,Machine Learning in Materials Science | Catalysis and Oxidation Reactions | Topic Modeling,Crystal (programming language) | Intermetallic | Materials science | Phase diagram | Computer science | Interpretation (philosophy) | Phase (matter) | Artificial intelligence | Programming language | Chemistry,11,A5069030030 | A5002187986 | A5060838579 | A5021406460 | A5033834115 | A5079435585 | A5076440317 | A5091265949 | A5031095378 | A5080348888 | A5037026533,Carla P. Gomes | Junwen Bai | Yexiang Xue | Johan Björck | Brendan Rappazzo | Sebastian Ament | Richard Bernstein | Shufeng Kong | Santosh K. Suram | R. B. van Dover | John M. Gregoire,US,strict,expanded | strict,expanded_autonomous_scientific_discovery | strict_llm_agents,scientific_agents,CRYSTAL: a multi-agent AI system for automated mapping of materials’ crystal structures Crystal (programming language) ; Intermetallic ; Materials science ; Phase diagram ; Computer science ; Interpretation (philosophy) ; Phase (matter) ; Artificial intelligence ; Programming language ; Chemistry Machine Learning in Materials Science ; Catalysis and Oxidation Reactions ; Topic Modeling
W4286422677,https://openalex.org/W4286422677,https://doi.org/10.48550/arxiv.1909.03511,Beyond Ternary OPV: High-Throughput Experimentation and Self-Driving\n Laboratories Optimize Multi-Component Systems,2019,2019-09-08,preprint,0,arXiv (Cornell University),Materials Science,Materials Chemistry,Engineering | Materials Science,Machine Learning in Materials Science | Modular Robots and Swarm Intelligence | Electrowetting and Microfluidic Technologies,Ternary operation | Component (thermodynamics) | Bayesian optimization | Throughput | Stability (learning theory) | Computer science | Materials science | Process engineering | Nanotechnology | Artificial intelligence | Engineering | Machine learning | Operating system | Physics,9,A5089054977 | A5015637398 | A5059742621 | A5039475108 | A5067790571 | A5010887205 | A5080164005 | A5071495561 | A5002468615,Stefan Langner | Florian Häse | José Darío Perea | Tobias Stubhan | Jens Hauch | Loı̈c M. Roch | Thomas Heumueller | Alán Aspuru‐Guzik | Christoph J. Brabec,,strict,strict,strict_self_driving_labs,self_driving_labs,"Beyond Ternary OPV: High-Throughput Experimentation and Self-Driving\n Laboratories Optimize Multi-Component Systems Fundamental advances to increase the efficiency as well as stability of\norganic photovoltaics (OPVs) are achieved by designing ternary blends which\nrepresents a clear trend towards multi-component active layer blends. We report\nthe development of high-throughput and autonomous experimentation methods for\nthe effective optimization of multi-component polymer blends for OPVs. A method\nfor automated film formation enabling the fabrication of up to 6048 films per\nday is introduced. Equipping this automated experimentation platform with a\nBayesian optimization, a self-driving laboratory is constructed that\nautonomously evaluates measurements to design and execute the next experiments.\nTo demonstrate the potential of these methods, a four-dimensional parameter\nspace of quaternary OPV blends is mapped and optimized for photo-stability.\nWhile with conventional approaches roughly 100 mg of material would be\nnecessary, the robot based platform can screen 2,000 combinations with less\nthan 10 mg and machine learning enabled autonomous experimentation identifies\nthe stable compositions with less than 1 mg.\n Ternary operation ; Component (thermodynamics) ; Bayesian optimization ; Throughput ; Stability (learning theory) ; Computer science ; Materials science ; Process engineering ; Nanotechnology ; Artificial intelligence ; Engineering ; Machine learning ; Operating system ; Physics Machine Learning in Materials Science ; Modular Robots and Swarm Intelligence ; Electrowetting and Microfluidic Technologies"
W3034954837,https://openalex.org/W3034954837,https://doi.org/10.1038/s41467-020-19597-w,On-the-fly closed-loop materials discovery via Bayesian active learning,2020,2020-11-24,article,366,Nature Communications,Materials Science,Materials Chemistry,Chemical Engineering | Materials Science,Machine Learning in Materials Science | Catalysis and Oxidation Reactions | Block Copolymer Self-Assembly,Bayesian optimization | Active learning (machine learning) | Field (mathematics) | Focus (optics) | Scientific discovery | Robot | Property (philosophy),0,,A. Gilad Kusne | Heshan Yu | Changming Wu | Huairuo Zhang | Jason Hattrick-Simpers | Brian DeCost | Suchismita Sarker | Corey Oses | Cormac Toher | Stefano Curtarolo | Albert V. Davydov | Ritesh Agarwal | Leonid A. Bendersky | Mo Li | Apurva Mehta | Ichiro Takeuchi,US,strict,strict,strict_self_driving_labs,autonomous_discovery,"On-the-fly closed-loop materials discovery via Bayesian active learning Active learning-the field of machine learning (ML) dedicated to optimal experiment design-has played a part in science as far back as the 18th century when Laplace used it to guide his discovery of celestial mechanics. In this work, we focus a closed-loop, active learning-driven autonomous system on another major challenge, the discovery of advanced materials against the exceedingly complex synthesis-processes-structure-property landscape. We demonstrate an autonomous materials discovery methodology for functional inorganic compounds which allow scientists to fail smarter, learn faster, and spend less resources in their studies, while simultaneously improving trust in scientific results and machine learning tools. This robot science enables science-over-the-network, reducing the economic impact of scientists being physically separated from their labs. The real-time closed-loop, autonomous system for materials exploration and optimization (CAMEO) is implemented at the synchrotron beamline to accelerate the interconnected tasks of phase mapping and property optimization, with each cycle taking seconds to minutes. We also demonstrate an embodiment of human-machine interaction, where human-in-the-loop is called to play a contributing role within each cycle. This work has resulted in the discovery of a novel epitaxial nanocomposite phase-change memory material. Bayesian optimization ; Active learning (machine learning) ; Field (mathematics) ; Focus (optics) ; Scientific discovery ; Robot ; Property (philosophy) Machine Learning in Materials Science ; Catalysis and Oxidation Reactions ; Block Copolymer Self-Assembly"
W3036152805,https://openalex.org/W3036152805,https://doi.org/10.1016/j.cogsc.2020.100370,Materials Acceleration Platforms: On the way to autonomous experimentation,2020,2020-06-18,article,160,Current Opinion in Green and Sustainable Chemistry,Materials Science,Materials Chemistry,Energy | Materials Science,Machine Learning in Materials Science | Advanced Photocatalysis Techniques | Electronic and Structural Properties of Oxides,Computer science | Field (mathematics) | Autonomy | Acceleration | Work (physics) | Systems engineering | Data science | Human–computer interaction | Artificial intelligence | Engineering | Mechanical engineering,7,A5000930193 | A5061581292 | A5050893241 | A5065990295 | A5055941404 | A5038974715 | A5071495561,Martha M. Flores‐Leonar | L.M. Mejía-Mendoza | Andrés Aguilar‐Granda | Benjamín Sánchez-Lengeling | Hermann Tribukait | Carlos Amador‐Bedolla | Alán Aspuru‐Guzik,CA | US | MX,strict,strict,strict_self_driving_labs,self_driving_labs,Materials Acceleration Platforms: On the way to autonomous experimentation Computer science ; Field (mathematics) ; Autonomy ; Acceleration ; Work (physics) ; Systems engineering ; Data science ; Human–computer interaction ; Artificial intelligence ; Engineering ; Mechanical engineering Machine Learning in Materials Science ; Advanced Photocatalysis Techniques ; Electronic and Structural Properties of Oxides
W3003638998,https://openalex.org/W3003638998,https://doi.org/10.1002/advs.201901957,Toward “On‐Demand” Materials Synthesis and Scientific Discovery through Intelligent Robots,2020,2020-02-03,article,73,Advanced Science,Materials Science,Materials Chemistry,Engineering | Materials Science,Machine Learning in Materials Science | Quantum Dots Synthesis And Properties | Innovative Microfluidic and Catalytic Techniques Innovation,Reinforcement learning | Computer science | Compiler | On demand | Robot | Quality (philosophy) | Work (physics) | Nanotechnology | Artificial intelligence | Materials science | Multimedia | Engineering | Mechanical engineering,5,A5101816304 | A5048790738 | A5073406392 | A5112342868 | A5066852437,Jiagen Li | Yuxiao Tu | Rulin Liu | Yihua Lu | Xi Zhu,CN,strict,expanded | strict,expanded_autonomous_scientific_discovery | strict_self_driving_labs,autonomous_discovery,"Toward “On‐Demand” Materials Synthesis and Scientific Discovery through Intelligent Robots A Materials Acceleration Operation System (MAOS) is designed, with unique language and compiler architecture. MAOS integrates with virtual reality (VR), collaborative robots, and a reinforcement learning (RL) scheme for autonomous materials synthesis, properties investigations, and self-optimized quality assurance. After training through VR, MAOS can work independently for labor and intensively reduces the time cost. Under the RL framework, MAOS also inspires the improved nucleation theory, and feedback for the optimal strategy, which can satisfy the demand on both of the CdSe quantum dots (QDs) emission wavelength and size distribution quality. Moreover, it can work well for extensive coverages of inorganic nanomaterials. MAOS frees the experimental researchers out of the tedious labor as well as the extensive exploration of optimal reaction conditions. This work provides a walking example for the ""On-Demand"" materials synthesis system, and demonstrates how artificial intelligence technology can reshape traditional materials science research in the future. Reinforcement learning ; Computer science ; Compiler ; On demand ; Robot ; Quality (philosophy) ; Work (physics) ; Nanotechnology ; Artificial intelligence ; Materials science ; Multimedia ; Engineering ; Mechanical engineering Machine Learning in Materials Science ; Quantum Dots Synthesis And Properties ; Innovative Microfluidic and Catalytic Techniques Innovation"
W3004295072,https://openalex.org/W3004295072,https://doi.org/10.1038/s41598-020-57887-x,Advances in Kriging-Based Autonomous X-Ray Scattering Experiments,2020,2020-01-28,article,42,Scientific Reports,Materials Science,Materials Chemistry,Computer Science | Materials Science,Machine Learning in Materials Science | Crystallization and Solubility Studies | Advanced Multi-Objective Optimization Algorithms,Kriging | Computer science | Gaussian process | Variogram | Surrogate model | Sensitivity (control systems) | Gaussian | Algorithm | Function (biology) | Mathematical optimization | Machine learning | Data mining | Mathematics | Physics,5,A5046307547 | A5071409218 | A5016341553 | A5015532927 | A5062034448,Marcus M. Noack | Gregory S. Doerk | Ruipeng Li | Masafumi Fukuto | Kevin G. Yager,US,strict,expanded | strict,expanded_autonomous_scientific_discovery | strict_self_driving_labs,autonomous_discovery | self_driving_labs,"Advances in Kriging-Based Autonomous X-Ray Scattering Experiments Autonomous experimentation is an emerging paradigm for scientific discovery, wherein measurement instruments are augmented with decision-making algorithms, allowing them to autonomously explore parameter spaces of interest. We have recently demonstrated a generalized approach to autonomous experimental control, based on generating a surrogate model to interpolate experimental data, and a corresponding uncertainty model, which are computed using a Gaussian process regression known as ordinary Kriging (OK). We demonstrated the successful application of this method to exploring materials science problems using x-ray scattering measurements at a synchrotron beamline. Here, we report several improvements to this methodology that overcome limitations of traditional Kriging methods. The variogram underlying OK is global and thus insensitive to local data variation. We augment the Kriging variance with model-based measures, for instance providing local sensitivity by including the gradient of the surrogate model. As with most statistical regression methods, OK minimizes the number of measurements required to achieve a particular model quality. However, in practice this may not be the most stringent experimental constraint; e.g. the goal may instead be to minimize experiment duration or material usage. We define an adaptive cost function, allowing the autonomous method to balance information gain against measured experimental cost. We provide synthetic and experimental demonstrations, validating that this improved algorithm yields more efficient autonomous data collection. Kriging ; Computer science ; Gaussian process ; Variogram ; Surrogate model ; Sensitivity (control systems) ; Gaussian ; Algorithm ; Function (biology) ; Mathematical optimization ; Machine learning ; Data mining ; Mathematics ; Physics Machine Learning in Materials Science ; Crystallization and Solubility Studies ; Advanced Multi-Objective Optimization Algorithms"
W2972197134,https://openalex.org/W2972197134,https://doi.org/10.1002/adma.201907801,Beyond Ternary OPV: High‐Throughput Experimentation and Self‐Driving Laboratories Optimize Multicomponent Systems,2020,2020-02-12,preprint,17,Advanced Materials,Materials Science,Materials Chemistry,Engineering | Materials Science,Machine Learning in Materials Science | Modular Robots and Swarm Intelligence | Electrowetting and Microfluidic Technologies,Ternary operation | Component (thermodynamics) | Bayesian optimization | Throughput | Stability (learning theory) | Computer science | Materials science | Nanotechnology | Artificial intelligence | Machine learning | Physics | Operating system,9,A5089054977 | A5015637398 | A5059742621 | A5039475108 | A5067790571 | A5010887205 | A5080164005 | A5071495561 | A5002468615,Stefan Langner | Florian Häse | José Darío Perea | Tobias Stubhan | Jens Hauch | Loı̈c M. Roch | Thomas Heumueller | Alán Aspuru‐Guzik | Christoph J. Brabec,DE | CA | US,strict,strict,strict_self_driving_labs,self_driving_labs,"Beyond Ternary OPV: High‐Throughput Experimentation and Self‐Driving Laboratories Optimize Multicomponent Systems Fundamental advances to increase the efficiency as well as stability of organic photovoltaics (OPVs) are achieved by designing ternary blends, which represents a clear trend toward multicomponent active layer blends. The development of high-throughput and autonomous experimentation methods is reported for the effective optimization of multicomponent polymer blends for OPVs. A method for automated film formation enabling the fabrication of up to 6048 films per day is introduced. Equipping this automated experimentation platform with a Bayesian optimization, a self-driving laboratory is constructed that autonomously evaluates measurements to design and execute the next experiments. To demonstrate the potential of these methods, a 4D parameter space of quaternary OPV blends is mapped and optimized for photostability. While with conventional approaches, roughly 100 mg of material would be necessary, the robot-based platform can screen 2000 combinations with less than 10 mg, and machine-learning-enabled autonomous experimentation identifies stable compositions with less than 1 mg. Ternary operation ; Component (thermodynamics) ; Bayesian optimization ; Throughput ; Stability (learning theory) ; Computer science ; Materials science ; Nanotechnology ; Artificial intelligence ; Machine learning ; Physics ; Operating system Machine Learning in Materials Science ; Modular Robots and Swarm Intelligence ; Electrowetting and Microfluidic Technologies"
W3034030686,https://openalex.org/W3034030686,https://doi.org/10.1038/s41598-020-74394-1,Autonomous materials discovery driven by Gaussian process regression with inhomogeneous measurement noise and anisotropic kernels,2020,2020-10-19,preprint,5,Scientific Reports,Materials Science,Materials Chemistry,"Biochemistry, Genetics and Molecular Biology | Computer Science | Materials Science",Machine Learning in Materials Science | Spectroscopy Techniques in Biomedical and Chemical Research | Gaussian Processes and Bayesian Inference,Noise (video) | Computer science | Process (computing) | Gaussian process | Kriging | Variety (cybernetics) | Artificial intelligence | Machine learning | Data science | Gaussian | Physics,7,A5046307547 | A5071409218 | A5016341553 | A5007155331 | A5002684335 | A5062034448 | A5015532927,Marcus M. Noack | Gregory S. Doerk | Ruipeng Li | Jason K. Streit | Richard A. Vaia | Kevin G. Yager | Masafumi Fukuto,US,strict,expanded | strict,expanded_autonomous_scientific_discovery | strict_self_driving_labs,self_driving_labs,"Autonomous materials discovery driven by Gaussian process regression with inhomogeneous measurement noise and anisotropic kernels A majority of experimental disciplines face the challenge of exploring large and high-dimensional parameter spaces in search of new scientific discoveries. Materials science is no exception; the wide variety of synthesis, processing, and environmental conditions that influence material properties gives rise to particularly vast parameter spaces. Recent advances have led to an increase in the efficiency of materials discovery by increasingly automating the exploration processes. Methods for autonomous experimentation have become more sophisticated recently, allowing for multi-dimensional parameter spaces to be explored efficiently and with minimal human intervention, thereby liberating the scientists to focus on interpretations and big-picture decisions. Gaussian process regression (GPR) techniques have emerged as the method of choice for steering many classes of experiments. We have recently demonstrated the positive impact of GPR-driven decision-making algorithms on autonomously-steered experiments at a synchrotron beamline. However, due to the complexity of the experiments, GPR often cannot be used in its most basic form, but rather has to be tuned to account for the special requirements of the experiments. Two requirements seem to be of particular importance, namely inhomogeneous measurement noise (input-dependent or non-i.i.d.) and anisotropic kernel functions, which are the two concepts that we tackle in this paper. Our synthetic and experimental tests demonstrate the importance of both concepts for experiments in materials science and the benefits that result from including them in the autonomous decision-making process. Noise (video) ; Computer science ; Process (computing) ; Gaussian process ; Kriging ; Variety (cybernetics) ; Artificial intelligence ; Machine learning ; Data science ; Gaussian ; Physics Machine Learning in Materials Science ; Spectroscopy Techniques in Biomedical and Chemical Research ; Gaussian Processes and Bayesian Inference"
