publication_year,strict_papers,expanded_papers,total_field_papers,strict_share_of_field,expanded_share_of_field
2018,0.0,89,294126,0.0,0.00030259140640405814
2019,4.0,119,305501,1.3093246830615939e-05,0.0003895240932108242
2020,15.0,195,303427,4.9435284269362976e-05,0.0006426586955017187
2021,20.0,220,299174,6.685072900719982e-05,0.000735358019079198
2022,21.0,261,294914,7.120719938693993e-05,0.0008850037638091105
2023,39.0,595,312863,0.00012465520051907703,0.001901790879714124
2024,51.0,692,332087,0.000153574213986094,0.002083791295654452
2025,222.0,1179,369615,0.0006006249746357697,0.0031898056085386144
2026,242.0,683,100521,0.002407457148257578,0.006794600133305478
