feature,u_statistic,p_value,significant,effect_size_r,success_median,failure_median,median_diff
total_markers,796.0,5.611023143641401e-31,True,0.8839988341591373,6.0,32.0,-26.0
longest_looping_sequence,1496.0,1.1497269385542649e-28,True,0.7819877586709414,0.0,1.0,-1.0
assistant_steps_count,1318.0,1.287061548199674e-27,True,0.8079277178665112,10.0,42.0,-32.0
step_count,1499.0,1.0066451981419812e-24,True,0.7815505683474205,8.5,23.0,-14.5
recovery_marker_count,1720.0,2.429698418172396e-23,True,0.7493442145147187,1.0,9.0,-8.0
total_message_length,1772.0,3.1773824702638675e-22,True,0.7417662489070243,11278.0,47320.0,-36042.0
marker_balance,1908.0,2.7763551075738036e-21,True,0.7219469542407462,5.0,22.0,-17.0
uncertainty_marker_count,2232.0,6.310234914296668e-19,True,0.6747303993004955,0.0,13.0,-13.0
total_calls,2292.0,1.4054245707279077e-18,True,0.6659865928300788,4.0,19.0,-15.0
successful_calls,2430.0,1.5975719092668808e-17,True,0.6458758379481201,4.0,19.0,-15.0
unique_tool_calls_ratio,11156.0,2.1978002228760844e-16,True,-0.6257650830661614,0.3,0.10526315789473684,0.19473684210526315
most_used_tool_count,2684.0,9.749465768984216e-16,True,0.608860390556689,4.0,16.0,-12.0
planning_to_total_ratio,2714.0,1.0408334652034835e-15,True,0.6044884873214806,0.0,0.15,-0.15
tool_repetition_rate,2756.0,4.1194000176495935e-15,True,0.5983678227921889,0.7,0.8846153846153846,-0.18461538461538463
validation_attempt_count,2822.5,5.6243283125646846e-15,True,0.5886767706208103,2.0,5.0,-3.0
has_planning_in_first_step,3444.0,3.7847255455985894e-14,True,0.49810550859807634,0.0,1.0,-1.0
backtrack_to_total_ratio,3334.0,4.422668590150045e-14,True,0.5141358204605071,0.0,0.0625,-0.0625
max_consecutive_successes,2968.0,7.195466570956845e-14,True,0.5674730399300496,8.0,36.0,-28.0
positive_marker_count,2950.5,7.399840750758364e-14,True,0.5700233168172544,4.0,13.0,-9.0
loop_instance_count,3905.0,6.136468850954318e-13,True,0.43092392888370734,0.0,0.0,0.0
total_tokens,3340.0,1.9739366196195832e-11,True,0.5132614398134654,12609.0,28574.0,-15965.0
negative_marker_count,3654.5,2.3702263385548648e-11,True,0.4674293208976975,0.0,2.0,-2.0
planning_statement_count,3625.0,2.390927274880814e-11,True,0.4717283590789857,0.0,1.0,-1.0
prompt_tokens,3360.0,2.55919061594599e-11,True,0.5103468376566599,12296.0,28028.0,-15732.0
avg_tools_per_step,3462.0,6.241130523421096e-11,True,0.49548236665695133,0.4444444444444444,0.5882352941176471,-0.14379084967320266
neutral_marker_count,3501.0,7.314607658321597e-11,True,0.48979889245118047,1.0,3.0,-2.0
recovery_marker_ratio,3532.0,2.1217133183587635e-10,True,0.4852812591081317,0.125,0.23809523809523808,-0.11309523809523808
uncertainty_marker_ratio,3588.0,3.375501776676304e-10,True,0.47712037306907606,0.0,0.5,-0.5
avg_thought_length,9674.0,1.0335768332513328e-08,True,-0.4097930632468667,616.5714285714286,0.0,616.5714285714286
tool_execution_duration,3932.0,2.402990701182619e-08,True,0.4269892159720198,0.004639908671379089,0.01644093543291092,-0.01180102676153183
steps_to_first_reasoning,4116.0,3.0507712395508984e-08,True,0.4001748761294084,3.0,4.0,-1.0
assistant_steps_to_first_reasoning,4116.0,3.0507712395508984e-08,True,0.4001748761294084,3.0,4.0,-1.0
problem_marker_count,5076.0,8.632975405108387e-08,True,0.26027397260273977,0.0,0.0,0.0
problem_marker_ratio,5076.0,8.681456887502549e-08,True,0.26027397260273977,0.0,0.0,0.0
negative_marker_ratio,5076.0,8.683666187492065e-08,True,0.26027397260273977,0.0,0.0,0.0
assistant_steps_to_first_planning,4412.0,1.1863837071295382e-07,True,0.3570387642086855,-1.0,3.0,-4.0
steps_to_first_planning,4412.0,1.1863837071295382e-07,True,0.3570387642086855,-1.0,3.0,-4.0
message_length_std,4488.0,6.152005934997621e-06,True,0.3459632760128243,994.7345424785449,1257.2705093920115,-262.5359669134666
give_up_count,5593.0,1.0112078269702076e-05,True,0.18493150684931503,0.0,0.0,0.0
tools_used_count,4690.0,2.198104150163649e-05,True,0.3165257942290878,2.0,3.0,-1.0
neutral_count,4746.0,3.3643232816981754e-05,True,0.30836490819003204,1.0,2.0,-1.0
code_block_count,5734.0,3.69310777449515e-05,True,0.1643835616438356,0.0,0.0,0.0
backtrack_trigger_count,5153.0,4.19329871106175e-05,True,0.24905275429903817,0.0,0.0,0.0
unnecessary_tool_use_count,7942.5,5.600977284600488e-05,True,-0.1574613815214223,0.0,0.0,0.0
has_reasoning_in_first_step,8642.0,7.206019280700922e-05,True,-0.25939959195569795,1.0,0.0,1.0
success_rate,7802.0,0.0001888115742162258,True,-0.13698630136986312,1.0,1.0,0.0
tool_diversity_entropy,4972.0,0.00030627487839121674,True,0.2754299038181288,1.0,1.4609640474436811,-0.46096404744368114
error_burstiness,6016.0,0.00041703803043888893,True,0.12328767123287676,0.0,0.0,0.0
max_consecutive_failures,6016.0,0.00041703803043888893,True,0.12328767123287676,0.0,0.0,0.0
total_errors,6016.0,0.0004183376586336429,True,0.12328767123287676,0.0,0.0,0.0
failed_calls,6016.0,0.0004183376586336429,True,0.12328767123287676,0.0,0.0,0.0
steps_to_first_error,6016.0,0.0004198264602450154,True,0.12328767123287676,-1.0,-1.0,0.0
assistant_steps_to_first_error,6016.0,0.00042057226737610257,True,0.12328767123287676,-1.0,-1.0,0.0
error_rate,6016.0,0.0004208988530279568,True,0.12328767123287676,0.0,0.0,0.0
reasoning_to_total_ratio,5020.0,0.0004349910267762835,True,0.2684348586417954,0.25,0.4,-0.15000000000000002
retry_rate,8628.0,0.0006604139239797655,True,-0.25735937044593404,0.375,0.1,0.275
annotatable_steps_count,5202.0,0.0009785146461900923,True,0.2419119790148645,3.0,10.0,-7.0
