feature,correlation,p_value,significant,abs_correlation,cohens_d,success_mean,failure_mean,n_success,n_failure
assistant_steps_count,-0.714157779584962,9.744577234862818e-39,True,0.714157779584962,-2.0889018464396294,10.382978723404255,32.93150684931507,94,146
total_markers,-0.6535114522758296,1.2852343305037708e-30,True,0.6535114522758296,-1.7675400571599273,7.148936170212766,33.3013698630137,94,146
step_count,-0.6205271491115276,6.1545504877329675e-27,True,0.6205271491115276,-1.6201271371170305,9.382978723404255,25.965753424657535,94,146
total_calls,-0.6099757481057881,7.521127780056131e-26,True,0.6099757481057881,-1.57601416293683,4.382978723404255,13.63013698630137,94,146
successful_calls,-0.597766847343072,1.2145857586829602e-24,True,0.597766847343072,-1.5266465402159974,4.382978723404255,13.397260273972602,94,146
recovery_marker_count,-0.5886946147756309,8.898787820390625e-24,True,0.5886946147756309,-1.4909102724048129,1.553191489361702,9.219178082191782,94,146
max_consecutive_successes,-0.5547464185799019,9.05507710252811e-21,True,0.5547464185799019,-1.3650811835463192,8.76595744680851,25.63013698630137,94,146
most_used_tool_count,-0.5152365949007375,1.1260050492645865e-17,True,0.5152365949007375,-1.2307966059687891,4.9787234042553195,15.178082191780822,94,146
unique_tool_calls_ratio,0.5097797177744814,2.8059580445661054e-17,True,0.5097797177744814,1.213754035837439,0.3329576156703816,0.17479416862077282,94,146
total_message_length,-0.5042742816946308,6.934626343285094e-17,True,0.5042742816946308,-1.1954891245785895,14068.468085106382,62202.82191780822,94,146
has_planning_in_first_step,-0.489616863582648,7.133677571408349e-16,True,0.489616863582648,-1.150393445549284,0.2553191489361702,0.7534246575342466,94,146
planning_to_total_ratio,-0.48246515099773113,2.1375802297825977e-15,True,0.48246515099773113,-1.1278232691717773,0.045186787208063794,0.17830642530984997,94,146
validation_attempt_count,-0.47909410447865897,3.5542833314250386e-15,True,0.47909410447865897,-1.1173859370280215,1.6808510638297873,6.6438356164383565,94,146
marker_balance,-0.4770067809503836,4.855973307401931e-15,True,0.4770067809503836,-1.1110797890268342,5.808510638297872,23.027397260273972,94,146
avg_thought_length,0.4645557488356967,2.990971264728043e-14,True,0.4645557488356967,1.075601512694253,568.9394340883703,168.17840196279565,94,146
positive_marker_count,-0.46151586771770226,4.6105969961071713e-14,True,0.46151586771770226,-1.065037351269318,5.26595744680851,17.589041095890412,94,146
tool_repetition_rate,-0.42714929324199125,4.6094004851068e-12,True,0.42714929324199125,-0.9675295095706477,0.6670423843296185,0.8115072012422408,94,146
total_tokens,-0.42231814521754063,8.455795642862357e-12,True,0.42231814521754063,-0.9538472738504826,16599.297872340427,41296.90410958904,94,146
prompt_tokens,-0.42027809106468644,1.0893673220614295e-11,True,0.42027809106468644,-0.9482474122749356,16167.91489361702,40632.75342465754,94,146
neutral_marker_count,-0.41401306579460206,2.3466790792723424e-11,True,0.41401306579460206,-0.9311399559958393,1.0957446808510638,4.9520547945205475,94,146
backtrack_to_total_ratio,-0.41246390321081255,2.830124524295805e-11,True,0.41246390321081255,-0.9270138693620673,0.011847933390486582,0.09412779952163514,94,146
recovery_marker_ratio,-0.4122043832565869,2.920068819038509e-11,True,0.4122043832565869,-0.9264674609190167,0.15341133452835579,0.2622268427919112,94,146
uncertainty_marker_count,-0.3965315826887721,1.8392299887800808e-10,True,0.3965315826887721,-0.8843124798705969,4.446808510638298,25.013698630136986,94,146
message_length_std,-0.37892125292702683,1.3004638517572741e-09,True,0.37892125292702683,-0.8382795205979312,958.8290726510749,2236.158406703847,94,146
tool_execution_duration,-0.36749908303646983,4.351387237885048e-09,True,0.36749908303646983,-0.8089447444536964,0.007856664029841727,0.034719392453154474,94,146
neutral_count,-0.3640529796580707,6.207345094241051e-09,True,0.3640529796580707,-0.8002234502476158,1.0957446808510638,4.335616438356165,94,146
loop_instance_count,-0.363463127573321,6.593721653096671e-09,True,0.363463127573321,-0.7986813789241217,0.02127659574468085,4.157534246575342,94,146
annotatable_steps_count,-0.35279196989552664,1.925199607856506e-08,True,0.35279196989552664,-0.7719648252230388,5.042553191489362,12.10958904109589,94,146
steps_to_first_planning,-0.3515156156181215,2.1826917801656788e-08,True,0.3515156156181215,-0.769205078867289,1.127659574468085,3.0821917808219177,94,146
assistant_steps_to_first_planning,-0.3515156156181215,2.1826917801656788e-08,True,0.3515156156181215,-0.769205078867289,1.127659574468085,3.0821917808219177,94,146
