feature,coefficient,abs_coefficient
tool_execution_duration,-1.9670791860067065,1.9670791860067065
loop_instance_count,-1.2389350970892203,1.2389350970892203
tool_latency_std,-1.1539636925940957,1.1539636925940957
tool_latency_mean,-0.9748333620751163,0.9748333620751163
max_consecutive_successes,0.9355494837055578,0.9355494837055578
avg_tools_per_step,0.9147479060441707,0.9147479060441707
annotatable_steps_count,0.8876590157731588,0.8876590157731588
negative_marker_count,-0.738450920687819,0.738450920687819
retry_rate,0.5127344575841712,0.5127344575841712
unnecessary_tool_use_count,0.3175868055552245,0.3175868055552245
